Treatment group,Compound,Animal ID,Animal Conc,Gender,Dose,Dosing Vol,Sample ID,Day,Sampling Time,Plasma Conc,Brain Conc ,Spleen Conc,colon Conc ,quadricep Conc,Brain /plasma ratio ,Spleen /plasma ratio,colon /plasma ratio ,quadricep /plasma ratio
,,,g,,mg/kg,mL,,,(hr),ng/mL,ng/g,ng/g,ng/g,ng/g,,,,
1,Formulation 1,130331.1,18.6,F,0,0.186,1,14,3.7,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,,,,
1,Formulation 1,130331.2,23.4,F,0,0.234,2,14,3.8,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,,,,
1,Formulation 1,130331.3,22.9,F,0,0.229,3,14,3.9,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,,,,
1,Formulation 1,130331.4,21.5,F,0,0.215,4,14,3.9,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,,,,
1,Formulation 1,130335.1,26.9,M,0,0.269,5,14,4.0,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,,,,
1,Formulation 1,130335.2,27.1,M,0,0.271,6,14,4.0,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,,,,
1,Formulation 1,130335.4,29.4,M,0,0.294,7,14,4.1,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,,,,
1,NA,NA,NA,NA,NA,NA,8,NA,NA,,,,,,,,,
2,EYH,130337.1,25.4,M,100,0.254,9,14,3.5,10900,1470,20100,29900,12100,0.13,1.8,2.7,1.1
2,EYH,130337.3,26.1,M,100,0.261,10,14,3.5,10900,1090,17200,17200,15900,0.10,1.6,1.6,1.5
2,EYH,130337.4,26.2,M,100,0.262,11,14,3.6,6330,352,5450,6790,4490,0.06,0.9,1.1,0.7
2,EYH,130337.5,26.6,M,100,0.266,12,14,3.7,9610,1500,20900,22500,12400,0.16,2.2,2.3,1.3
2,EYH,130331.5,18.4,F,100,0.184,13,14,3.7,12200,1400,18100,30800,16000,0.11,1.5,2.5,1.3
2,EYH,130332.1,21.2,F,100,0.212,14,14,4.8,5060,200,2810,2930,1890,0.04,0.6,0.6,0.4
2,EYH,130332.2,22.3,F,100,0.223,15,14,4.8,9590,771,12300,16400,8750,0.08,1.3,1.7,0.9
2,EYH,130335.5,22.9,M,100,0.229,16,14,4.8,9250,761,12000,16300,7690,0.08,1.3,1.8,0.8
3,Formulation 2,130333.1,25.4,F,0,0.254,17,14,6.2,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,,,,
3,Formulation 2,130333.2,23.5,F,0,0.235,18,14,6.3,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,,,,
3,Formulation 2,130333.3,22.4,F,0,0.224,19,14,6.4,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,,,,
3,Formulation 2,130333.4,21.8,F,0,0.218,20,14,6.4,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,,,,
3,NA,NA,NA,NA,NA,NA,21,NA,NA,,,,,,,,,
3,Formulation 2,130332.3,21,F,0,0.21,22,14,6.5,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,,,,
3,Formulation 2,130332.4,22.9,F,0,0.229,23,14,6.6,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,,,,
3,Formulation 2,130332.5,21.2,F,0,0.212,24,14,6.6,BLOQ,BLOQ,BLOQ,BLOQ,BLOQ,,,,
4,LCZ,130334.1,22.4,F,100,0.224,25,14,5.9,5060,1170,58300,27200,27200,0.23,12,5.4,5.4
4,LCZ,130334.2,23.4,F,100,0.234,26,14,6.0,3710,1040,40000,14900,7500,0.28,11,4.0,2.0
4,LCZ,130334.3,21.3,F,100,0.213,27,14,6.0,4280,1620,57200,30000,6880,0.38,13,7.0,1.6
4,LCZ,130334.4,24.6,F,100,0.246,28,14,6.0,2480,651,33500,9310,6220,0.26,14,3.8,2.5
4,LCZ,130334.5,22.1,F,100,0.221,29,14,6.0,2950,1060,42600,26300,7590,0.36,14,8.9,2.6
4,LCZ,130338.1,29.3,M,100,0.293,30,14,6.0,3600,992,43400,17300,10100,0.28,12,4.8,2.8
4,LCZ,131091.1,24.6,M,100,0.246,31,14,6.1,1320,416,15400,15100,1810,0.32,12,11,1.4
4,LCZ,131091.2,29.8,M,100,0.298,32,14,6.1,6160,1330,56400,26100,13100,0.22,9.2,4.2,2.1
