WellsConcentration,inchi_key,single-cell hit for GFP-GPI,non-tox? for GFP-GPI,GFP.PrPko.count_ratio for GFP-GPI,membrane PrP-/GFP+ hit for GFP-GPI,membrane PrP,membrane GFP,cyto PrP,cyto GFP,smiles,cas_number,moa,gene_symbols[1],chembl_ids[1],pubchem_ids[1],SSEC PubChem CIDs annotation SSEC_set,PubChem CID,NSN-number,venn_cat_1578008438,venn_x_coord_1578008438,venn_y_coord_1578008438
1,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,0,1,1.00117798619782,0,2.21696064062274,-3.2458926228104,-0.924011347116204,-3.9643585173342,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,302962-49-8,Src Kinase Inhibitors;Inhibitors of Signal Transduction Pathways;Bruton's Tyrosine Kinase (BTK) Inhibitors;Bcr-Abl Kinase Inhibitors,ABL1,CHEMBL1421,3062316,,,,,0.2,0.5
1,YVWGGGGMRDLOGA-GOSISDBHSA-N,0,1,-2.11582776590731,0,3.95149855858901,-2.51335479803583,1.41894827471256,-3.5412089968365,Cc1cccc(S(=O)(=O)N2CCC[C@@H]2CCN2CCC(C)CC2)c1,201038-58-6,ADRA1B gene modulator;5-HT7 Antagonists,HTR7,CHEMBL12624,9863250,MoA public,9863250,ZD-92-NE97,,0.2,0.5
1,KQJSQWZMSAGSHN-JJWQIEBTSA-N,0,1,1.1405833747298,0,5.5045595773029,2.67021544597232,0.777912653167981,2.54529131790773,,,,,,,,,,,0.2,0.5
1,REFJWTPEDVJJIY-UHFFFAOYSA-N,0,1,-1.0208746152186,0,0.645775554848869,0.95452385482089,0.606039407101082,0.876427665818012,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,117-39-5,,SULT1A1,CHEMBL1173475,5280343,,,,,0.2,0.5
1,UQRORFVVSGFNRO-UTINFBMNSA-N,0,1,-0.873088927669761,0,1.91126213758293,0.0354825517416139,1.38022449979937,-0.141193024716546,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,134282-77-2,SGLT-3 Activators;Pharmacological Chaperones;alpha-Glucosidase Inhibitors;Ceramide Glucosyltransferase Inhibitors,GAA,CHEMBL1029,51634,MoA public,51634,WD-43-XM59,,0.2,0.5
1,NOOLISFMXDJSKH-KXUCPTDWSA-N,0,1,-0.549525760832226,0,-0.681843802309904,2.91512885942605,0.771065751281068,3.19851514933854,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,114376-98-6,TRPM8 (TRP-p8;CMR1) Agonists,TRPM8,CHEMBL470670,16666,MoA public,16666,UD-43-JM74,,0.2,0.5
1,IPSSXIMJJXSJQB-FQEVSTJZSA-N,0,1,-1.18826394635324,0,0.960392417429881,1.18919167969446,1.55761873576524,1.70103345615379,,,,,,,MoA public,9938544,EC-98-HZ54,,0.2,0.5
1,GPKJTRJOBQGKQK-UHFFFAOYSA-N,0,1,-0.0250720658327274,0,-2.00181111545648,-0.00484238994024799,-0.341437893186185,0.53830861441945,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,130-42-7,TP53 Expression Enhancers;Secretory Phospholipase A2 (sPLA2) Inhibitors;Cytokine Production Inhibitors;NF-kappaB (NFKB) Activation Inhibitors,PLA2G2A,CHEMBL2105615,237,MoA public,237,UB-93-AM89,,0.2,0.5
1,QQHMKNYGKVVGCZ-UHFFFAOYSA-N,0,1,-1.02399822613695,0,-0.687880905903987,-0.573387948265251,-0.207591885751289,-0.455755429064348,N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,183204-72-0,Thymidine Phosphorylase Inhibitors,TYMP,CHEMBL235668,6323266,,,,,0.2,0.5
1,NLCKCKYSUHCUDR-HJWRWDBZSA-N,0,1,-0.62240518720533,0,1.1281278704387,0.72056992640938,4.75747961636504,2.34404734386412,O=C(/C=C\C(=O)Nc1cccc(Cl)c1)Nc1ccc(Cl)cc1,,XPO1 (CRM1) inhibitor,XPO1,,101476433,,,,,0.2,0.5
