WellsConcentration,inchi_key,single-cell hit for GFP,non-tox? for GFP,GFP.PrPko.count_ratio for GFP,membrane PrP-/GFP+ hit for GFP,membrane PrP,membrane GFP,cyto PrP,cyto GFP,smiles,cas_number,moa,gene_symbols[1],chembl_ids[1],pubchem_ids[1],SSEC PubChem CIDs annotation SSEC_set,PubChem CID,NSN-number,venn_cat_71767115,venn_x_coord_71767115,venn_y_coord_71767115,venn_cat_1791869146,venn_x_coord_1791869146,venn_y_coord_1791869146
1,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,0,1,-0.829539084037107,0,10.735725550717,0.0792395996450127,4.16241347975315,1.10204720680153,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,302962-49-8,Src Kinase Inhibitors;Inhibitors of Signal Transduction Pathways;Bruton's Tyrosine Kinase (BTK) Inhibitors;Bcr-Abl Kinase Inhibitors,ABL1,CHEMBL1421,3062316,,,,,0.5,1,,0.2,0.5
1,YVWGGGGMRDLOGA-GOSISDBHSA-N,0,1,-1.02909639375095,0,2.24203886567131,-0.129736829752322,0.73832852815438,-0.00614441832439697,Cc1cccc(S(=O)(=O)N2CCC[C@@H]2CCN2CCC(C)CC2)c1,201038-58-6,ADRA1B gene modulator;5-HT7 Antagonists,HTR7,CHEMBL12624,9863250,MoA public,9863250,ZD-92-NE97,,0.5,1,,0.2,0.5
1,KQJSQWZMSAGSHN-JJWQIEBTSA-N,1,0,4.94237146079044,0,9.16132208187456,11.0389193748293,0.220723664023008,17.6123375196337,,,,,,,,,,AB,4,6.2,A,2,2.5
1,REFJWTPEDVJJIY-UHFFFAOYSA-N,0,1,0.800174560979349,0,-0.801184511220737,0.510477522994593,-1.15267682761916,0.114007681733207,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,117-39-5,,SULT1A1,CHEMBL1173475,5280343,,,,,0.5,1,,0.2,0.5
1,UQRORFVVSGFNRO-UTINFBMNSA-N,0,1,0.0491996785599099,0,-0.349122178735825,-0.737901923756777,-0.727858135897165,-1.0074069656802,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,134282-77-2,SGLT-3 Activators;Pharmacological Chaperones;alpha-Glucosidase Inhibitors;Ceramide Glucosyltransferase Inhibitors,GAA,CHEMBL1029,51634,MoA public,51634,WD-43-XM59,,0.5,1,,0.2,0.5
1,NOOLISFMXDJSKH-KXUCPTDWSA-N,0,1,-0.47240222371638,0,-0.0297120545863362,0.310342684884347,0.565473005176887,0.283313760093226,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,114376-98-6,TRPM8 (TRP-p8;CMR1) Agonists,TRPM8,CHEMBL470670,16666,MoA public,16666,UD-43-JM74,,0.5,1,,0.2,0.5
1,IPSSXIMJJXSJQB-FQEVSTJZSA-N,0,1,0.149612010875184,0,-1.12460696172743,0.373486229456208,-0.94157225253294,0.697483346231908,,,,,,,MoA public,9938544,EC-98-HZ54,,0.5,1,,0.2,0.5
1,GPKJTRJOBQGKQK-UHFFFAOYSA-N,0,1,2.80826496440102,0,-1.2945952869725,1.0391964814292,-0.805423597250461,0.89189583270856,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,130-42-7,TP53 Expression Enhancers;Secretory Phospholipase A2 (sPLA2) Inhibitors;Cytokine Production Inhibitors;NF-kappaB (NFKB) Activation Inhibitors,PLA2G2A,CHEMBL2105615,237,MoA public,237,UB-93-AM89,,0.5,1,,0.2,0.5
1,QQHMKNYGKVVGCZ-UHFFFAOYSA-N,0,1,1.12878575556358,0,-2.0361412750692,-0.732100452431831,-1.15750419276568,-0.939832748995398,N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,183204-72-0,Thymidine Phosphorylase Inhibitors,TYMP,CHEMBL235668,6323266,,,,,0.5,1,,0.2,0.5
1,NLCKCKYSUHCUDR-HJWRWDBZSA-N,0,1,0.516125231311158,0,-3.08188872203762,0.521549961930399,-1.32381478805821,3.36773687477807,O=C(/C=C\C(=O)Nc1cccc(Cl)c1)Nc1ccc(Cl)cc1,,XPO1 (CRM1) inhibitor,XPO1,,101476433,,,,,0.5,1,,0.2,0.5
1,DJCVSFWGKYHMKH-YVMONPNESA-N,0,1,-2.43100145213172,0,0.888779808035478,0.0567079586931741,0.92980535015283,0.0294511860302999,O=C(O)/C(S)=C/c1ccc(I)cc1,179528-45-1,Calpain Inhibitors,CAPN1,CHEMBL366254,9839500,MoA public,9839500,TA-94-AN84,,0.5,1,,0.2,0.5
1,ISHUULBGXOVLLF-UHFFFAOYSA-N,0,1,-1.94472111661624,0,1.01623656495832,0.655230584151246,1.19879986319081,0.362248861405476,Nc1ncc(-c2ncccc2OC(F)(F)F)nc1C(=O)Nc1ncccc1N1CCC(N)CC1,,"PKC inhibitor;Kinase inhibitors;""PKC inhibitor;Kinase inhibitors""",PRKCA,CHEMBL3915489,118873207,,,,,0.5,1,,0.2,0.5
1,RXGUTQNKCXHALN-BJMVGYQFSA-N,0,1,-2.57451533804716,0,0.898577235140204,-0.533011427607588,0.845520470569293,-0.454878855972411,O=C(/C=C/c1ccc(O)cc1)NCCc1ccc(O)cc1,111129-11-4,uncompetitive inhibitor,GAA,CHEMBL64286,5372945,,,,,0.5,1,,0.2,0.5
1,NBOMNTLFRHMDEZ-UHFFFAOYSA-N,0,1,0.591514110504656,0,-0.244530833037111,0.55230985300422,-0.46951888283766,0.595667537012207,,,,,,,,,,,0.5,1,,0.2,0.5
