inchi	smiles	target	moa	cell_line	conc	target_value	control_value	hit	condition	hit_any	hit_all	inchi_key	hit_picked	n_annotations	target_genes	annotated_moas
AAAQFGUYHFJNHI-SFHVURJKSA-N	CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21	BRD4	BRD2/3/4/T BET familiy inhibitor	GFP	1	-7.42462428667756	-0.305414262070848	TRUE	GFP 1	TRUE	FALSE	AAAQFGUYHFJNHI-SFHVURJKSA-N	FALSE	2	BRD4	BRD2/3/4/T BET familiy inhibitor
AAAQFGUYHFJNHI-SFHVURJKSA-N	CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21	BRD4	BRD2/3/4/T BET familiy inhibitor	GFP	10	-7.33381750213397	2.2807954163051	TRUE	GFP 10	TRUE	FALSE	AAAQFGUYHFJNHI-SFHVURJKSA-N	FALSE	2	BRD4	BRD2/3/4/T BET familiy inhibitor
AAAQFGUYHFJNHI-SFHVURJKSA-N	CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21	BRD4	BRD2/3/4/T BET familiy inhibitor	GFP-GPI	1	1.04391629612362	2.68789530152577	FALSE	GFP-GPI 1	TRUE	FALSE	AAAQFGUYHFJNHI-SFHVURJKSA-N	FALSE	2	BRD4	BRD2/3/4/T BET familiy inhibitor
AAAQFGUYHFJNHI-SFHVURJKSA-N	CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21	BRD4	BRD2/3/4/T BET familiy inhibitor	GFP-GPI	10	-2.00978598173292	-5.23615014424319	FALSE	GFP-GPI 10	TRUE	FALSE	AAAQFGUYHFJNHI-SFHVURJKSA-N	FALSE	2	BRD4	BRD2/3/4/T BET familiy inhibitor
AAKJLRGGTJKAMG-UHFFFAOYSA-N	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	EGFR	Inhibitors of Signal Transduction Pathways;EGFR (HER1 or erbB1) Inhibitors	GFP	1	-3.5256533823599	-1.26561371181647	FALSE	GFP 1	FALSE	FALSE	AAKJLRGGTJKAMG-UHFFFAOYSA-N	TRUE	2	EGFR	Inhibitors of Signal Transduction Pathways,EGFR (HER1 or erbB1) Inhibitors
AAKJLRGGTJKAMG-UHFFFAOYSA-N	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	EGFR	Inhibitors of Signal Transduction Pathways;EGFR (HER1 or erbB1) Inhibitors	GFP	10	-2.97584855734845	-0.309269522398802	FALSE	GFP 10	FALSE	FALSE	AAKJLRGGTJKAMG-UHFFFAOYSA-N	TRUE	2	EGFR	Inhibitors of Signal Transduction Pathways,EGFR (HER1 or erbB1) Inhibitors
AAKJLRGGTJKAMG-UHFFFAOYSA-N	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	EGFR	Inhibitors of Signal Transduction Pathways;EGFR (HER1 or erbB1) Inhibitors	GFP-GPI	1	1.88374766113558	-0.267293080953337	FALSE	GFP-GPI 1	FALSE	FALSE	AAKJLRGGTJKAMG-UHFFFAOYSA-N	TRUE	2	EGFR	Inhibitors of Signal Transduction Pathways,EGFR (HER1 or erbB1) Inhibitors
AAKJLRGGTJKAMG-UHFFFAOYSA-N	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	EGFR	Inhibitors of Signal Transduction Pathways;EGFR (HER1 or erbB1) Inhibitors	GFP-GPI	10	-3.90135941194135	-6.71892666593872	FALSE	GFP-GPI 10	FALSE	FALSE	AAKJLRGGTJKAMG-UHFFFAOYSA-N	TRUE	2	EGFR	Inhibitors of Signal Transduction Pathways,EGFR (HER1 or erbB1) Inhibitors
AAOYLOCWJSLLJU-UHFFFAOYSA-N	O=C(C(=O)c1cc(Br)ccc1O)c1cc(Br)ccc1O	CES1	Carboxylesterase Inhibitors	GFP	1	-1.57324374403442	-0.620674244796315	FALSE	GFP 1	FALSE	FALSE	AAOYLOCWJSLLJU-UHFFFAOYSA-N	FALSE	5	CES1,CES1P1,CES2,CES3,CES5A	Carboxylesterase Inhibitors
AAOYLOCWJSLLJU-UHFFFAOYSA-N	O=C(C(=O)c1cc(Br)ccc1O)c1cc(Br)ccc1O	CES1	Carboxylesterase Inhibitors	GFP	10	-3.4669789363123	-1.04850004180146	FALSE	GFP 10	FALSE	FALSE	AAOYLOCWJSLLJU-UHFFFAOYSA-N	FALSE	5	CES1,CES1P1,CES2,CES3,CES5A	Carboxylesterase Inhibitors
AAOYLOCWJSLLJU-UHFFFAOYSA-N	O=C(C(=O)c1cc(Br)ccc1O)c1cc(Br)ccc1O	CES1	Carboxylesterase Inhibitors	GFP-GPI	1	-1.29727646184387	0.497407113559926	FALSE	GFP-GPI 1	FALSE	FALSE	AAOYLOCWJSLLJU-UHFFFAOYSA-N	FALSE	5	CES1,CES1P1,CES2,CES3,CES5A	Carboxylesterase Inhibitors
AAOYLOCWJSLLJU-UHFFFAOYSA-N	O=C(C(=O)c1cc(Br)ccc1O)c1cc(Br)ccc1O	CES1	Carboxylesterase Inhibitors	GFP-GPI	10	-1.76778472583989	-6.00629795186118	FALSE	GFP-GPI 10	FALSE	FALSE	AAOYLOCWJSLLJU-UHFFFAOYSA-N	FALSE	5	CES1,CES1P1,CES2,CES3,CES5A	Carboxylesterase Inhibitors
AASYYGYJPZBFKC-UHFFFAOYSA-N	O=C(O)Cc1c(C(=O)O)n(Cc2cccc3ccccc23)c2ccc(F)cc12	CMA1	Known Chymase inhibitor	GFP	1	-0.381511156798734	0.531402235772227	FALSE	GFP 1	FALSE	FALSE	AASYYGYJPZBFKC-UHFFFAOYSA-N	FALSE	1	CMA1	Known Chymase inhibitor
AASYYGYJPZBFKC-UHFFFAOYSA-N	O=C(O)Cc1c(C(=O)O)n(Cc2cccc3ccccc23)c2ccc(F)cc12	CMA1	Known Chymase inhibitor	GFP	10	0.543222843052468	-0.0643091791438057	FALSE	GFP 10	FALSE	FALSE	AASYYGYJPZBFKC-UHFFFAOYSA-N	FALSE	1	CMA1	Known Chymase inhibitor
AASYYGYJPZBFKC-UHFFFAOYSA-N	O=C(O)Cc1c(C(=O)O)n(Cc2cccc3ccccc23)c2ccc(F)cc12	CMA1	Known Chymase inhibitor	GFP-GPI	1	-0.756956353731838	-1.08953774344287	FALSE	GFP-GPI 1	FALSE	FALSE	AASYYGYJPZBFKC-UHFFFAOYSA-N	FALSE	1	CMA1	Known Chymase inhibitor
AASYYGYJPZBFKC-UHFFFAOYSA-N	O=C(O)Cc1c(C(=O)O)n(Cc2cccc3ccccc23)c2ccc(F)cc12	CMA1	Known Chymase inhibitor	GFP-GPI	10	-0.391742558472678	-0.097419530157828	FALSE	GFP-GPI 10	FALSE	FALSE	AASYYGYJPZBFKC-UHFFFAOYSA-N	FALSE	1	CMA1	Known Chymase inhibitor
AATHJLXYARFGKZ-UHFFFAOYSA-N	O=C(c1ccc(-c2cc[n+]([O-])cc2)cc1)N1CCN(S(=O)(=O)c2ccc3cc(Cl)ccc3c2)CC1	F10	Inhibitors of Blood Coagulation Pathways;Coagulation Factor Xa Inhibitors	GFP	1	0.392240858475598	0.0503234553593366	FALSE	GFP 1	FALSE	FALSE	AATHJLXYARFGKZ-UHFFFAOYSA-N	FALSE	2	F10	Coagulation Factor Xa Inhibitors,Inhibitors of Blood Coagulation Pathways
AATHJLXYARFGKZ-UHFFFAOYSA-N	O=C(c1ccc(-c2cc[n+]([O-])cc2)cc1)N1CCN(S(=O)(=O)c2ccc3cc(Cl)ccc3c2)CC1	F10	Inhibitors of Blood Coagulation Pathways;Coagulation Factor Xa Inhibitors	GFP	10	0.212497040926097	0.232461941799147	FALSE	GFP 10	FALSE	FALSE	AATHJLXYARFGKZ-UHFFFAOYSA-N	FALSE	2	F10	Coagulation Factor Xa Inhibitors,Inhibitors of Blood Coagulation Pathways
AATHJLXYARFGKZ-UHFFFAOYSA-N	O=C(c1ccc(-c2cc[n+]([O-])cc2)cc1)N1CCN(S(=O)(=O)c2ccc3cc(Cl)ccc3c2)CC1	F10	Inhibitors of Blood Coagulation Pathways;Coagulation Factor Xa Inhibitors	GFP-GPI	1	-1.35588846696095	0.293288142776017	FALSE	GFP-GPI 1	FALSE	FALSE	AATHJLXYARFGKZ-UHFFFAOYSA-N	FALSE	2	F10	Coagulation Factor Xa Inhibitors,Inhibitors of Blood Coagulation Pathways
AATHJLXYARFGKZ-UHFFFAOYSA-N	O=C(c1ccc(-c2cc[n+]([O-])cc2)cc1)N1CCN(S(=O)(=O)c2ccc3cc(Cl)ccc3c2)CC1	F10	Inhibitors of Blood Coagulation Pathways;Coagulation Factor Xa Inhibitors	GFP-GPI	10	-0.788745920596577	-4.29437835131211	FALSE	GFP-GPI 10	FALSE	FALSE	AATHJLXYARFGKZ-UHFFFAOYSA-N	FALSE	2	F10	Coagulation Factor Xa Inhibitors,Inhibitors of Blood Coagulation Pathways
AATPYXMXFBBKFO-UHFFFAOYSA-N	COc1cc(C(C)C)c(Oc2cnc(N)nc2N)cc1I	P2RX2	P2RX2 and P2RX3 Purinergic Receptor Antagonist	GFP	1	-0.899299070000708	-0.387794283548942	FALSE	GFP 1	FALSE	FALSE	AATPYXMXFBBKFO-UHFFFAOYSA-N	FALSE	1	P2RX2	P2RX2 and P2RX3 Purinergic Receptor Antagonist
AATPYXMXFBBKFO-UHFFFAOYSA-N	COc1cc(C(C)C)c(Oc2cnc(N)nc2N)cc1I	P2RX2	P2RX2 and P2RX3 Purinergic Receptor Antagonist	GFP	10	-1.49349692415511	-0.765331009796339	FALSE	GFP 10	FALSE	FALSE	AATPYXMXFBBKFO-UHFFFAOYSA-N	FALSE	1	P2RX2	P2RX2 and P2RX3 Purinergic Receptor Antagonist
AATPYXMXFBBKFO-UHFFFAOYSA-N	COc1cc(C(C)C)c(Oc2cnc(N)nc2N)cc1I	P2RX2	P2RX2 and P2RX3 Purinergic Receptor Antagonist	GFP-GPI	1	-1.01796277043313	0.174003646023101	FALSE	GFP-GPI 1	FALSE	FALSE	AATPYXMXFBBKFO-UHFFFAOYSA-N	FALSE	1	P2RX2	P2RX2 and P2RX3 Purinergic Receptor Antagonist
AATPYXMXFBBKFO-UHFFFAOYSA-N	COc1cc(C(C)C)c(Oc2cnc(N)nc2N)cc1I	P2RX2	P2RX2 and P2RX3 Purinergic Receptor Antagonist	GFP-GPI	10	-0.179141700062366	-3.88736187777138	FALSE	GFP-GPI 10	FALSE	FALSE	AATPYXMXFBBKFO-UHFFFAOYSA-N	FALSE	1	P2RX2	P2RX2 and P2RX3 Purinergic Receptor Antagonist
