inchi_key	conc	cells	nuclei	prp	gfp
UZIATSFXNVOVFE-OAHLLOKOSA-N	20	GFP	279	7.552696655	-5.492186092
IYIGLWQQAMROOF-HHHXNRCGSA-N	20	GFP	518	-4.668670447	-0.116612488
BSQHKYLMKDAHEX-GOSISDBHSA-N	20	GFP	381	-2.804285554	-3.55937594
OONFNUWBHFSNBT-HXUWFJFHSA-N	20	GFP	12	-5.935917788	-13.34742512
TZUYDLKHNQUNKS-UHFFFAOYSA-N	20	GFP	452	-4.858436068	3.267294123
GMGMDWSPSKXMJH-OAQYLSRUSA-N	20	GFP	384	-0.060975507	-2.691710134
SXHHURZUIGDYAR-QGZVFWFLSA-N	20	GFP	39	-5.781994224	-16.34344855
QPKKAIMODKGHRH-UHFFFAOYSA-N	20	GFP	51	-5.55381248	-16.24547135
YZRLVRHBPHBXFV-KYJUHHDHSA-N	20	GFP	655	-2.955778168	0.797769124
STRAIBOPIVXLQO-UHFFFAOYSA-N	20	GFP	689	1.125650941	-4.434476853
ZCMFEWUYBFMLIN-UHFFFAOYSA-N	20	GFP	772	-0.619536067	2.828608209
JRSGZNKDLJKFKK-XMMPIXPASA-N	20	GFP	475	-0.398015438	1.825977288
GNKXHXKTZQAERZ-UHFFFAOYSA-N	20	GFP	612	-3.454571761	-1.97654232
CEUMAXLRGBKFQP-UHFFFAOYSA-N	20	GFP	37	-8.00298306	-10.59206279
	NA	GFP	674	1.595113639	-0.596315571
	NA	GFP	859	1.269914784	-9.285099229
UZIATSFXNVOVFE-OAHLLOKOSA-N	20	GFP	304	1.229853213	-7.800546495
IYIGLWQQAMROOF-HHHXNRCGSA-N	20	GFP	504	-6.11442987	-1.083390171
BSQHKYLMKDAHEX-GOSISDBHSA-N	20	GFP	497	-4.433675065	-2.452408708
OONFNUWBHFSNBT-HXUWFJFHSA-N	20	GFP	115	-7.121281647	-13.02813382
TZUYDLKHNQUNKS-UHFFFAOYSA-N	20	GFP	374	-6.8683467	1.266792405
GMGMDWSPSKXMJH-OAQYLSRUSA-N	20	GFP	396	-2.541863164	-0.524840374
SXHHURZUIGDYAR-QGZVFWFLSA-N	20	GFP	284	-7.258807292	-16.88666845
QPKKAIMODKGHRH-UHFFFAOYSA-N	20	GFP	140	-7.011653098	-16.22202312
YZRLVRHBPHBXFV-KYJUHHDHSA-N	20	GFP	637	-4.445113288	2.629503918
