inchi_key	n_annotations	target_genes	annotated_moas	smiles
AAAQFGUYHFJNHI-SFHVURJKSA-N	2	BRD4	BRD2/3/4/T BET familiy inhibitor	CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21
AAKJLRGGTJKAMG-UHFFFAOYSA-N	2	EGFR	Inhibitors of Signal Transduction Pathways,EGFR (HER1 or erbB1) Inhibitors	C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
AAOYLOCWJSLLJU-UHFFFAOYSA-N	5	CES1,CES1P1,CES2,CES3,CES5A	Carboxylesterase Inhibitors	O=C(C(=O)c1cc(Br)ccc1O)c1cc(Br)ccc1O
AASYYGYJPZBFKC-UHFFFAOYSA-N	1	CMA1	Known Chymase inhibitor	O=C(O)Cc1c(C(=O)O)n(Cc2cccc3ccccc23)c2ccc(F)cc12
AATHJLXYARFGKZ-UHFFFAOYSA-N	2	F10	Coagulation Factor Xa Inhibitors,Inhibitors of Blood Coagulation Pathways	O=C(c1ccc(-c2cc[n+]([O-])cc2)cc1)N1CCN(S(=O)(=O)c2ccc3cc(Cl)ccc3c2)CC1
AATPYXMXFBBKFO-UHFFFAOYSA-N	1	P2RX2	P2RX2 and P2RX3 Purinergic Receptor Antagonist	COc1cc(C(C)C)c(Oc2cnc(N)nc2N)cc1I
ABFMMCZFKUIJGQ-UHFFFAOYSA-N	4	GRIA1,GRIA2,GRIA3,GRIA4	AMPA Antagonists	O=[N+]([O-])c1cc(CNCP(=O)(O)O)c2nc(O)c(O)nc2c1
ABGOSOMRWSYAOB-UHFFFAOYSA-N	4	KMT5B,KMT5C	SUV420H1/H2 inhibitor,kmt5b and kmt5c inhibitor	Clc1cc2c(NC3CCCC3)nnc(-c3ccncc3)c2cc1Cl
ABSJDZWNXDCDKP-UHFFFAOYSA-N	1	PTGDR2	CRTh2 antagonist	CCS(=O)(=O)c1ccc(Cn2c(C)c(CC(=O)O)c3cccnc32)c(Cl)c1
ABVSYWGFUNXYAC-UHFFFAOYSA-N	1	PTPN11	Protein Tyrosine Phosphatase SHP-2 (PTP2C) Inhibitors	O=C1Nc2ccc(S(=O)(=O)NCc3ccc(F)cc3)cc2/C1=N/Nc1cccc(C(=O)O)c1
ABWOWIYOHHZBRY-QQHIZMLBSA-N	1	GPR4	GPR4 antagonist	
ABXIUYMKZDZUDC-UHFFFAOYSA-N	1	AHR	Aryl hydrocarbon receptor antagonist	Cc1cncc(-c2nc(NCCc3c[nH]c4ccccc34)c3ncn(C(C)C)c3n2)c1
ACGUYXCXAPNIKK-UHFFFAOYSA-N	6	SDHD,ENPP2	Autotaxin) Inhibitors,Ectonucleotide Pyrophosphatase/Phosphodiesterase 2 (ENPP2,Large Conductance K(Ca) 1.1 (BK, maxi K+) Channel Activators	Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
