inchi_key	inchi	smiles	cell_line	conc	target_value	control_value
ZBNZXTGUTAYRHI-UHFFFAOYSA-N	ZBNZXTGUTAYRHI-UHFFFAOYSA-N	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1	GFP	1	10.735725550717	1.10204720680153
YVWGGGGMRDLOGA-GOSISDBHSA-N	YVWGGGGMRDLOGA-GOSISDBHSA-N	Cc1cccc(S(=O)(=O)N2CCC[C@@H]2CCN2CCC(C)CC2)c1	GFP	1	2.24203886567131	-0.00614441832439697
KQJSQWZMSAGSHN-JJWQIEBTSA-N	KQJSQWZMSAGSHN-JJWQIEBTSA-N		GFP	1	9.16132208187456	17.6123375196337
REFJWTPEDVJJIY-UHFFFAOYSA-N	REFJWTPEDVJJIY-UHFFFAOYSA-N	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	GFP	1	-0.801184511220737	0.114007681733207
UQRORFVVSGFNRO-UTINFBMNSA-N	UQRORFVVSGFNRO-UTINFBMNSA-N	CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO	GFP	1	-0.349122178735825	-1.0074069656802
NOOLISFMXDJSKH-KXUCPTDWSA-N	NOOLISFMXDJSKH-KXUCPTDWSA-N	CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O	GFP	1	-0.0297120545863362	0.283313760093226
IPSSXIMJJXSJQB-FQEVSTJZSA-N	IPSSXIMJJXSJQB-FQEVSTJZSA-N		GFP	1	-1.12460696172743	0.697483346231908
GPKJTRJOBQGKQK-UHFFFAOYSA-N	GPKJTRJOBQGKQK-UHFFFAOYSA-N	CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12	GFP	1	-1.2945952869725	0.89189583270856
QQHMKNYGKVVGCZ-UHFFFAOYSA-N	QQHMKNYGKVVGCZ-UHFFFAOYSA-N	N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl	GFP	1	-2.0361412750692	-0.939832748995398
NLCKCKYSUHCUDR-HJWRWDBZSA-N	NLCKCKYSUHCUDR-HJWRWDBZSA-N	O=C(/C=C\C(=O)Nc1cccc(Cl)c1)Nc1ccc(Cl)cc1	GFP	1	-3.08188872203762	3.36773687477807
DJCVSFWGKYHMKH-YVMONPNESA-N	DJCVSFWGKYHMKH-YVMONPNESA-N	O=C(O)/C(S)=C/c1ccc(I)cc1	GFP	1	0.888779808035478	0.0294511860302999
ISHUULBGXOVLLF-UHFFFAOYSA-N	ISHUULBGXOVLLF-UHFFFAOYSA-N	Nc1ncc(-c2ncccc2OC(F)(F)F)nc1C(=O)Nc1ncccc1N1CCC(N)CC1	GFP	1	1.01623656495832	0.362248861405476
RXGUTQNKCXHALN-BJMVGYQFSA-N	RXGUTQNKCXHALN-BJMVGYQFSA-N	O=C(/C=C/c1ccc(O)cc1)NCCc1ccc(O)cc1	GFP	1	0.898577235140204	-0.454878855972411
NBOMNTLFRHMDEZ-UHFFFAOYSA-N	NBOMNTLFRHMDEZ-UHFFFAOYSA-N		GFP	1	-0.244530833037111	0.595667537012207
RJZJEPYCJHLWQR-TUKIKUTGSA-N	RJZJEPYCJHLWQR-TUKIKUTGSA-N	CO[C@@H]1C(c2ccc(C#N)c(Cl)c2C)=NN2CC[C@H](O)[C@@H]12	GFP	1	1.45957690078366	-0.377888114631822
WUADCCWRTIWANL-UHFFFAOYSA-N	WUADCCWRTIWANL-UHFFFAOYSA-N	COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1	GFP	1	0.0123048040079425	-0.920538503545088
PCMORTLOPMLEFB-ONEGZZNKSA-N	PCMORTLOPMLEFB-ONEGZZNKSA-N	COc1cc(/C=C/C(=O)O)cc(OC)c1O	GFP	1	0.124242108847385	0.109280117381868
RDSACQWTXKSHJT-NSHDSACASA-N	RDSACQWTXKSHJT-NSHDSACASA-N	COc1cc(F)c(F)c(Nc2ccc(I)cc2F)c1NS(=O)(=O)C1(C[C@H](O)CO)CC1	GFP	1	-0.34037992978594	-0.465401485712589
MRFOPLWJZULAQD-SWGQDTFXSA-N	MRFOPLWJZULAQD-SWGQDTFXSA-N	Nc1ccc(/C=C/C(=O)NCc2cc3cc(-c4ccc(C(=O)N5CCC(F)(F)CC5)cc4)cc(-c4ccc(F)cc4)c3o2)cn1	GFP	1	-0.686608909876844	0.0120668819846045
COTBDKMEUUNJTI-UHFFFAOYSA-N	COTBDKMEUUNJTI-UHFFFAOYSA-N	Cc1cc(C)nc(NS(=O)(=O)c2ccc(NC(=O)NC(=O)c3ccc(Cl)cc3Cl)cc2)n1	GFP	1	1.75239565243764	-0.342666786616165
GKJZEKSHCJELPL-UHFFFAOYSA-N	GKJZEKSHCJELPL-UHFFFAOYSA-N	Cn1cc(C(F)(F)F)nc1-c1ccc(OCC(O)CNCCOc2ccc(O)c(C(N)=O)c2)cc1	GFP	1	-0.286456519675392	-0.517691687891897
UUQMNUMQCIQDMZ-UHFFFAOYSA-N	UUQMNUMQCIQDMZ-UHFFFAOYSA-N	CNCCc1ccccn1	GFP	1	-0.716263190360098	-1.18047606814736
QFWVGKDFYOXTQO-UHFFFAOYSA-N	QFWVGKDFYOXTQO-UHFFFAOYSA-N	CCCCCCCCCCCC(OC(=O)C(CCCCN(O)C(C)=O)NC(=O)c1coc(-c2ccccc2O)n1)C(C)C(=O)NC1CCCCN(O)C1=O	GFP	1	-7.9570539738354	-5.54468534201532
GQEOCXVLXYTOAW-HSZRJFAPSA-N	GQEOCXVLXYTOAW-HSZRJFAPSA-N	CO[C@@H]1CCN(c2nc(-c3c(C)ccc4[nH]nc(C)c34)nc3c2CN(c2c(Cl)c(C4CC4)nn2C)CC3)CC1(C)C	GFP	1	1.1872493976418	1.43215161750369
VJXBYUITQBTTQM-DSRNDQRRSA-N	VJXBYUITQBTTQM-DSRNDQRRSA-N	CC[C@H](C)[C@H]1NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](CCSC)C(=O)N2)OC(=O)C[C@@H]1O	GFP	1	-2.99990507078345	23.8190990910251
RUWCWTXHTOBJIA-NHCUHLMSSA-N	RUWCWTXHTOBJIA-NHCUHLMSSA-N	CCCC[C@]1(CC)CS(=O)(=O)c2ccccc2[C@@H](c2ccccc2)N1	GFP	1	-0.155834835386965	-0.23415132088459
CGWBJJZOKGZCSJ-UHFFFAOYSA-N	CGWBJJZOKGZCSJ-UHFFFAOYSA-N	CCCOc1ccc(CCc2nc3cc(-c4c(C)noc4C)ccc3n2CCN2CCOCC2)cc1	GFP	1	0.0637125093136433	0.0583744623877385
ISWRGOKTTBVCFA-UHFFFAOYSA-N	ISWRGOKTTBVCFA-UHFFFAOYSA-N	Cc1ccc(=O)n(-c2ccccc2)c1	GFP	1	1.27149331054327	-0.491247817296933
ZCOLJUOHXJRHDI-CMWLGVBASA-N	ZCOLJUOHXJRHDI-CMWLGVBASA-N		GFP	1	8.11169060748446	0.202110142177453
QZUKGDYPSXQBSQ-VXKWHMMOSA-N	QZUKGDYPSXQBSQ-VXKWHMMOSA-N	COc1cc([C@@H](O)CN2CCN(C[C@H](O)c3ccc4c(c3C)COC4=O)CC2)ncc1C#N	GFP	1	1.2130729276528	0.349057199984774
LBZZVBOHWAZYRL-UHFFFAOYSA-N	LBZZVBOHWAZYRL-UHFFFAOYSA-N	CN1CCN(c2ccc(-c3cnc4cccc(-c5cc(F)c(CN6CCOCC6)c(F)c5)c4n3)cc2)CC1	GFP	1	2.08927499118529	-0.283073326631382
CPRAGQJXBLMUEL-UHFFFAOYSA-N	CPRAGQJXBLMUEL-UHFFFAOYSA-N	Cc1cc(C(C)Nc2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1	GFP	1	0.346281472136635	-1.93312247954766
RSRUDTPYRBLHEO-UHFFFAOYSA-N	RSRUDTPYRBLHEO-UHFFFAOYSA-N	CN1CCc2cccc(Cl)c2CC1	GFP	1	-0.71784776106899	0.364523024784355
JTVCWQUNPMKMER-BQYLNSIHSA-N	JTVCWQUNPMKMER-BQYLNSIHSA-N	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1	GFP	1	0.981835474395747	0.16695109027958
HHZLKORDNNRTRS-UHFFFAOYSA-N	HHZLKORDNNRTRS-UHFFFAOYSA-N	Cc1ccn2cc(-c3ccc(OCCCN4CCCCC4)cc3)nc2c1	GFP	1	0.190243877012515	-0.251364498045269
WROHEWWOCPRMIA-UHFFFAOYSA-N	WROHEWWOCPRMIA-UHFFFAOYSA-N	CNC(=O)c1ccc(Oc2ccc3c(c2)CCN(C2CCC2)CC3)nc1	GFP	1	-0.269122785950601	-0.0848833978934969
RQMVVBIHNXFXPW-UHFFFAOYSA-N	RQMVVBIHNXFXPW-UHFFFAOYSA-N	NCc1c(-c2ccc(Cl)cc2Cl)cn2c(N3CCSCC3)cnc2c1N	GFP	1	0.0265159967569847	-1.10359250204588
XRXDAJYKGWNHTQ-UHFFFAOYSA-N	XRXDAJYKGWNHTQ-UHFFFAOYSA-N	c1ccc2nc(N3CCNCC3)ccc2c1	GFP	1	-0.439484888004269	-0.423197073732768
PJZPDFUUXKKDNB-KNINVFKUSA-N	PJZPDFUUXKKDNB-KNINVFKUSA-N		GFP	1	0.0492692836348834	0.106682553989344
PSLXNEVDCJSLEL-UHFFFAOYSA-N	PSLXNEVDCJSLEL-UHFFFAOYSA-N	Cc1c(NC(=O)c2ccc(C(C)(C)O)cc2F)cc(F)cc1-c1ncnc2[nH]c(C3=CCOCC3)cc12	GFP	1	-1.1058609520098	-0.534161603443455
QJBRZZUZDREZIP-UHFFFAOYSA-N	QJBRZZUZDREZIP-UHFFFAOYSA-N	CC(=O)NC(CSC12CCC3(O)CC(C)=CC(=O)C3(O)C1(O)C(=O)c1cccc(O)c1C2=O)C(=O)O	GFP	1	-0.122129325463908	-0.367696402373713
GBTYEOLOCAQPPZ-MHZLTWQESA-N	GBTYEOLOCAQPPZ-MHZLTWQESA-N	COCCCN(CC(=O)N[C@@H](CC(=O)O)c1ccc(OC)c(OC)c1)C(=O)Cc1ccc(NC(=O)Nc2ccccc2C)cc1	GFP	1	-0.340218978677518	0.0430925198398662
MPZNLZJMWPDRGB-UHFFFAOYSA-N	MPZNLZJMWPDRGB-UHFFFAOYSA-N	CCc1cnc(N2CCC(Oc3ccc(CC4CCN(S(C)(=O)=O)CC4)cc3Cl)CC2)nc1	GFP	1	0.133123681487726	0.194509451721758
VFBGXTUGODTSPK-BAQGIRSFSA-N	VFBGXTUGODTSPK-BAQGIRSFSA-N	O=C1Nc2ccc3ncsc3c2/C1=C/c1c[nH]cn1	GFP	1	-4.51768268086851	-0.500377779184708
PAZXLRUFYLWCKB-UHFFFAOYSA-N	PAZXLRUFYLWCKB-UHFFFAOYSA-N	C#CCOc1ccc2nc(C(=O)c3ccc(C(C)C)cc3)nc(-c3ccc(C(C)C)cc3)c2c1	GFP	1	-0.207930132815836	0.0270081899459254
FMACPFBCGJVLLZ-UHFFFAOYSA-N	FMACPFBCGJVLLZ-UHFFFAOYSA-N	Cc1cc(C)c(C(=O)Nc2ccc(-n3nc(C(F)(F)F)cc3C(F)(F)F)cc2)cn1	GFP	1	-2.0789970214628	-1.23186734930977
GZUITABIAKMVPG-UHFFFAOYSA-N	GZUITABIAKMVPG-UHFFFAOYSA-N	O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12	GFP	1	-1.74382679564964	0.279819734225025
XZTUSOXSLKTKJQ-CESUGQOBSA-N	XZTUSOXSLKTKJQ-CESUGQOBSA-N	C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O	GFP	1	-0.149287276079276	0.521760112967036
MSTOPLWRMNGDRS-INIZCTEOSA-N	MSTOPLWRMNGDRS-INIZCTEOSA-N	CCc1cc(NC(=O)N[C@H](CO)CCN2CC(Oc3ccc(Cl)cc3)C2)n(C)n1	GFP	1	5.29589359368426	0.321217121985692
YWYNFBNIDCUJSP-UHFFFAOYSA-N	YWYNFBNIDCUJSP-UHFFFAOYSA-N		GFP	1	-0.861483153492273	-0.252896458672217
UCTWMZQNUQWSLP-VIFPVBQESA-N	UCTWMZQNUQWSLP-VIFPVBQESA-N	CNC[C@H](O)c1ccc(O)c(O)c1	GFP	1	-0.917817867575897	0.912245780806015
FLKSZJUIPRZEET-UHFFFAOYSA-N	FLKSZJUIPRZEET-UHFFFAOYSA-N	CC(C)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OC1CCN(C)CC1	GFP	1	-1.65980202649106	-0.280707784183669
RTIXKCRFFJGDFG-UHFFFAOYSA-N	RTIXKCRFFJGDFG-UHFFFAOYSA-N	O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12	GFP	1	0.554798712160127	-0.724277623206789
QPCDCPDFJACHGM-UHFFFAOYSA-N	QPCDCPDFJACHGM-UHFFFAOYSA-N	O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O	GFP	1	-1.29246875241652	-0.482968573867479
XUKUURHRXDUEBC-KAYWLYCHSA-N	XUKUURHRXDUEBC-KAYWLYCHSA-N	CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O	GFP	1	1.50576652188214	0.1127974452656
HCBULGQMULJTCM-ZSOIEALJSA-N	HCBULGQMULJTCM-ZSOIEALJSA-N	O=C1/C(=C/c2ccc(O)c(O)c2)Oc2ccccc21	GFP	1	-0.368779650679696	-1.04694868232629
REAXQOXPGHLTBE-UHFFFAOYSA-N	REAXQOXPGHLTBE-UHFFFAOYSA-N		GFP	1	-0.117296488748485	0.627459159376499
PFZTXTPVKAGHPW-GOSISDBHSA-N	PFZTXTPVKAGHPW-GOSISDBHSA-N	COc1cc(CCc2cc(NC(=O)c3ccc(N4CCN(C)[C@H](C)C4)cc3)n[nH]2)cc(OC)c1	GFP	1	-8.12734525721272	-7.48863685531557
SGEIEGAXKLMUIZ-XUVDNFPMSA-N	SGEIEGAXKLMUIZ-XUVDNFPMSA-N	[O-][n+]1cccc(/C(Cl)=N/OC[C@H](O)CN2CCCCC2)c1	GFP	1	0.0585145073200676	1.18871996724579
GOLXRNDWAUTYKT-UHFFFAOYSA-N	GOLXRNDWAUTYKT-UHFFFAOYSA-N	O=C(O)CCc1c[nH]c2ccccc12	GFP	1	1.07214550135774	-0.431010102294029
UTOXGQNLFXWCMS-QGZVFWFLSA-N	UTOXGQNLFXWCMS-QGZVFWFLSA-N	CS(=O)(=O)N1CCC(c2noc([C@H](CCCC3CCCCC3)CC(=O)NO)n2)CC1	GFP	1	1.22390622034263	1.52232531430297
PJSOHQYOAVQLMP-UHFFFAOYSA-N	PJSOHQYOAVQLMP-UHFFFAOYSA-N	Cc1cc(-c2cc(-c3cc(S(=O)(=O)NCC(C)(C)O)ccc3C)cnc2N)on1	GFP	1	-0.0884126422698185	1.19514429928042
TWWFAXQOKNBUCR-UHFFFAOYSA-N	TWWFAXQOKNBUCR-UHFFFAOYSA-N	O=C(Cc1ccccc1)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12	GFP	1	0.330006274431408	-0.422949645278216
NFACJZMKEDPNKN-UHFFFAOYSA-N	NFACJZMKEDPNKN-UHFFFAOYSA-N	COP(=O)(OC)C(O)C(Cl)(Cl)Cl	GFP	1	0.67361611438611	1.5183766889042
BXNMTOQRYBFHNZ-UHFFFAOYSA-N	BXNMTOQRYBFHNZ-UHFFFAOYSA-N	CCOCc1nc2c(N)nc3ccccc3c2n1CC(C)(C)O	GFP	1	0.0172446781197065	-1.22723396956986
MEEJEEVTIVAOJP-UHFFFAOYSA-N	MEEJEEVTIVAOJP-UHFFFAOYSA-N	N#CC(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1	GFP	1	-1.63394182643006	-1.11819097127438
RLFKILXOLJVUNF-UHFFFAOYSA-N	RLFKILXOLJVUNF-UHFFFAOYSA-N	COCc1c(C(=O)OC(C)C)ncc2[nH]c3ccc(OCc4ccccc4)cc3c12	GFP	1	-2.69225812276639	-2.63244409188444
GSLWRDKYYIQKIM-TZMCWYRMSA-N	GSLWRDKYYIQKIM-TZMCWYRMSA-N	CCCN1CCC[C@@H]2c3cc(O)ccc3OC[C@H]21	GFP	1	-0.845916049519027	-0.272596722202981
NVAHQQYCEWEDKM-UHFFFAOYSA-N	NVAHQQYCEWEDKM-UHFFFAOYSA-N	Cn1c(=O)n(C2CCN(CCCn3nc(-c4ccc(C(F)(F)F)cc4)c4c3CCN(S(C)(=O)=O)C4)CC2)c2cc(Cl)ccc21	GFP	1	1.4816005164164	0.339401591207927
GMGMDWSPSKXMJH-OAQYLSRUSA-N	GMGMDWSPSKXMJH-OAQYLSRUSA-N	COc1ccc2nc(NC(=O)[C@H](CC3CCCC3)c3ccc(S(=O)(=O)N4CCN(C)CC4)cc3)sc2n1	GFP	1	0.436976067227508	-0.542906186544469
DCAJEEHUEYUYHB-UHFFFAOYSA-N	DCAJEEHUEYUYHB-UHFFFAOYSA-N	COCCOc1cc2ncc(-c3cc(N)nc(Cl)c3)n2cc1S(=O)(=O)C(C)(C)C	GFP	1	1.19126581632764	0.867600537713117
SHGAZHPCJJPHSC-YCNIQYBTSA-N	SHGAZHPCJJPHSC-YCNIQYBTSA-N	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1	GFP	1	0.012653121182334	0.178385981838231
IFLIQLQVUMXNFU-IAPPQJPRSA-N	IFLIQLQVUMXNFU-IAPPQJPRSA-N	CCCCS(=O)(=O)NC(=O)[C@@H](NC(=O)[C@@H](Cc1ccc(-c2ccno2)cc1)N(C)C(=O)c1cc(C)cc(C)c1)C(C)C	GFP	1	1.68796542783552	-0.595454429499097
ITFBYYCNYVFPKD-FMIDTUQUSA-N	ITFBYYCNYVFPKD-FMIDTUQUSA-N	CC1(C)CC[C@]2(C(=O)n3ccnc3)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]3(C)CC[C@H]3C(C)(C)C(=O)C(C#N)=C[C@]43C)[C@@H]2C1	GFP	1	0.366003707025834	2.01975614438527
DKZYXHCYPUVGAF-JCNLHEQBSA-N	DKZYXHCYPUVGAF-JCNLHEQBSA-N	CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1	GFP	1	-13.8818967690855	-14.2470235807795
HUNGUWOZPQBXGX-UHFFFAOYSA-N	HUNGUWOZPQBXGX-UHFFFAOYSA-N	O=C(Cc1ccc(-c2ccc(OCCN3CCOCC3)cc2)cn1)NCc1ccccc1	GFP	1	0.452822096113465	1.93230343186908
BLEWPNAUDGZWPU-UHFFFAOYSA-N	BLEWPNAUDGZWPU-UHFFFAOYSA-N		GFP	1	1.44925951920274	0.0537503775835335
PGGLRAWFUJMQBN-HXUWFJFHSA-N	PGGLRAWFUJMQBN-HXUWFJFHSA-N	O=c1cc(-c2ccnc(NC3CCOCC3)n2)ccn1[C@H](CO)c1ccc(Cl)c(F)c1	GFP	1	-0.518878255796824	-0.296194509663655
DWRVMQXDTOSBGF-MRXNPFEDSA-N	DWRVMQXDTOSBGF-MRXNPFEDSA-N	CC(C)(O)[C@H](F)CNC(=O)c1cnc(Nc2ncc(C#N)cc2Cl)cc1NC1CC1	GFP	1	-0.464084405409736	0.284775232234392
MSJODEOZODDVGW-UHFFFAOYSA-N	MSJODEOZODDVGW-UHFFFAOYSA-N	N=c1[nH]c2ccc(Cl)cc2c2nc(-c3ccco3)nn12	GFP	1	-0.17569875837464	-0.264433690371053
AGNFWIZBEATIAK-UHFFFAOYSA-N	AGNFWIZBEATIAK-UHFFFAOYSA-N	NCCCCc1ccccc1	GFP	1	-0.219112197762896	0.270664656444799
MRBDMNSDAVCSSF-UHFFFAOYSA-N	MRBDMNSDAVCSSF-UHFFFAOYSA-N	Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1	GFP	1	0.0726902963088396	0.083563826059171
LHNIIDJUOCFXAP-UHFFFAOYSA-N	LHNIIDJUOCFXAP-UHFFFAOYSA-N	CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1	GFP	1	9.15094182404648	5.28286457863761
UVSWWUWQVAQPJR-UHFFFAOYSA-N	UVSWWUWQVAQPJR-UHFFFAOYSA-N	COc1ccc(CCN2CCN(CCCc3ccccc3)CC2)cc1OC	GFP	1	-0.106768255096006	0.52102564262427
PLOMPBOPGTUIOH-UHFFFAOYSA-N	PLOMPBOPGTUIOH-UHFFFAOYSA-N	O=C1CC(c2cccc(-n3ccnc3)c2)=Nc2ccc(C#Cc3ccc(F)cc3)cc2N1	GFP	1	-1.89160030446541	-1.06471039745962
KTEIFNKAUNYNJU-LBPRGKRZSA-N	KTEIFNKAUNYNJU-LBPRGKRZSA-N	C[C@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl	GFP	1	-0.566687781436477	-0.204642452107857
FNPPHVLYVGMZMZ-XBXARRHUSA-N	FNPPHVLYVGMZMZ-XBXARRHUSA-N	COc1nccnc1NS(=O)(=O)c1ccc(NC(=O)/C=C/c2ccc([N+](=O)[O-])s2)cc1	GFP	1	-0.685776297564175	4.79068094920555
