gene	p_ebm	n_pep	abun	l2fc	color
0610009B22Rik	0.016309802372370133	1	197.1461249779	-0.15988794055961816	#FFCCCC
0610012G03Rik	0.29002343287762244	2	85.1452611047	-0.06410617254870396	#C9C9C9
2210016F16Rik	0.26538158521655586	4	255.0266618974	-0.12389343305370104	#C9C9C9
2310009B15Rik	0.04747834063111688	3	320.6498973656	-0.21899614223788974	#FFCCCC
2310022A10Rik	0.8877828211356538	8	1494.7712829194	-0.008872528246176604	#C9C9C9
2410002F23Rik	0.08257700517179914	6	228.7796397114	-0.1588229901457162	#C9C9C9
2410004B18Rik	0.046797177541545935	1	38.1244973916	-0.22966432317117966	#FFCCCC
2700097O09Rik	0.1930859132149579	3	228.3053487089	-0.17547542309078706	#C9C9C9
2900026A02Rik	0.5214740079475579	4	158.9693069049	0.11794097792819552	#C9C9C9
4930522L14Rik	0.16807071775190932	2	141.3629276952	-0.0660623946202136	#C9C9C9
5031439G07Rik	0.009344994069386972	8	352.2215726499	-0.22209973469794794	#FFCCCC
8030462N17Rik	0.28915133470765325	1	151.1627600826	-0.11440905162689043	#C9C9C9
8030474K03Rik	0.7471893781491379	6	305.9325382237	-0.03858107650968726	#C9C9C9
A2m	0.3750045837918998	1	69.5065126374	0.21105566676169427	#C9C9C9
A430033K04Rik	0.6712501189134321	2	102.24493296169999	-0.07801353923803853	#C9C9C9
A4galt	0.857026815333305	1	33.6416684657	0.013353287363166159	#C9C9C9
Aaas	0.8327305273300586	3	220.9707164714	2.0433524651592566e-4	#C9C9C9
Aacs	0.0719324122875361	6	662.9105391613	-0.12533183538692347	#C9C9C9
Aagab	0.004106067887266586	4	193.8414092702	-0.38280536440320545	#FFCCCC
Aak1	0.0321216204699517	13	1042.621618424	-0.17724778595748983	#FFCCCC
Aamdc	0.7831059434221406	4	377.7307692137	-0.02384276884852406	#C9C9C9
Aamp	9.433576742633019e-4	6	559.1952533205	-0.29107170005079397	#FFCCCC
Aar2	0.06891666599583143	5	254.4296926141	-0.12133824289466287	#C9C9C9
Aars1	0.31154902784561495	7	918.9365382123	-0.04286548665655751	#C9C9C9
Aars2	0.8269547663919861	6	445.4490120382	0.0030541159334734817	#C9C9C9
Aarsd1	5.166800991928469e-4	4	589.2856970812	-0.41004517472334445	#FFCCCC
Aasdhppt	0.004184439310515485	4	794.032169989	-0.11975680650530347	#FFCCCC
