loc	fisher_es	fisher_p	direction_effect	direction_t_p
Cytoplasm	3.0612587512058025	1.5007345322443179e-128	-0.10845578988204216	2.7108654366544846e-194
Nucleus	0.9799025126922425	0.671592709047041	-0.03140284135388015	2.2662634391085313e-17
Cell membrane	0.6806931000464665	8.890995748410891e-7	0.04098579169883833	5.715552792136672e-10
Multi-pass membrane protein	0.28011940604649316	4.3283185865546725e-43	0.13253842122144696	7.810486356795249e-103
None annotated	2.3062577147489973	1.1560352617255836e-33	-0.081379392338448	5.335767283185856e-47
Membrane	0.862230286026601	0.10168936484580854	0.042190448297962146	3.903873702828464e-9
Secreted	0.5317823866529479	2.3295500073021403e-5	0.09565479077217214	2.035321437499501e-6
Cytoskeleton	1.8374319031574442	4.058456352242298e-16	-0.06972256304200437	2.6755962924457538e-33
Peripheral membrane protein	1.492571840352535	1.6977725143815059e-6	-0.02780013351459025	5.149405801192484e-5
Single-pass type I membrane protein	0.2270533743192248	4.083662868433628e-18	0.121051961745791	8.166026728171246e-29
Cell projection	1.5230982160372362	1.4322540472237751e-5	-0.035191005104123735	4.507305157752312e-6
Endoplasmic reticulum membrane	0.3948549726153417	2.1065467364561564e-17	0.13372791053000505	1.678455930219078e-49
Cell junction	1.1266303440995018	0.29550421656283954	-0.014226128967598659	0.111588162394702
Mitochondrion	0.4423273255324562	5.013776648281977e-13	0.05133302602473789	5.2997428065259115e-11
Cytoplasmic vesicle	1.3474258090361508	0.011587924047139257	-0.014165843560637909	0.11546968157724667
Single-pass membrane protein	0.5474783920695895	5.528316660890137e-5	0.105113158265183	3.026217625214719e-16
Cytosol	2.3792591447775107	1.0869877494059759e-15	-0.07539949491787377	1.6878170357073997e-19
Chromosome	0.7779747911854522	0.02782599575844409	-0.00622866013919561	0.4204564424906102
Golgi apparatus	0.9672390842870559	0.8109293764269558	0.008080999318898982	0.44420177487332724
Lipid-anchor	0.5793052768637663	3.946372700191583e-4	0.04345422963344208	7.07682262435281e-4
Microtubule organizing center	2.1742467544104978	1.4348158715378567e-11	-0.09483125928562422	5.9940421479544435e-25
Synapse	1.023540068145292	0.8762422807216782	-0.0030838539017053607	0.7937808328200571
Single-pass type II membrane protein	0.280991439398711	2.7912741429478495e-9	0.12986052054065134	1.918738273523247e-19
Centrosome	2.2271476293601413	6.948478121352587e-12	-0.09545871363814369	6.543152006324346e-25
Golgi apparatus membrane	0.47824667192755016	1.0694580896459401e-6	0.06322230622939864	1.9862997714813394e-11
Nucleolus	0.3614815280784537	3.904225176099282e-14	0.03640617139409833	5.341819627302052e-7
Extracellular space	0.32803618762103753	0.0019742010817257573	0.10442959323135695	7.143731770178922e-6
Mitochondrion inner membrane	0.18986333749517786	4.344136056492836e-20	0.11410680727675682	1.3315303505913693e-26
Perinuclear region	2.2136638472930863	2.526028977260992e-7	-0.06839808498908602	4.860372410285931e-9
Endoplasmic reticulum	0.8621286584446263	0.40296140795344904	0.03627210148561659	0.0065883798549875
Cilium	1.8257397436840765	0.0043225714726244984	-0.05901696952265166	5.9524960801139e-4
Extracellular matrix	0.29139720175954165	0.0050226345185454685	0.08713649938951418	0.0018621043197508916
Secretory vesicle	1.3386722913277058	0.1886281668164932	0.01585039465051387	0.34333944415890283
Lysosome membrane	0.7574922350770088	0.16913217021682495	0.05578798127588645	2.1045623249732383e-4
Nucleoplasm	0.4947611092428801	9.607299877432111e-5	0.026922845624517355	0.019321014841820344
Dendrite	0.9374388650786156	0.823544722023706	-0.013934664969406249	0.3747319044272983
Spindle	2.2138349227297427	1.3450854501794503e-6	-0.08198374149484097	3.7351596970755227e-11
Nucleus speckle	0.31715614928274727	1.1797628496194676e-8	0.05407485854532361	1.7951404095564588e-7
Mitochondrion matrix	0.21283638150115883	9.259671289424435e-13	0.0657825781586533	3.2565952377669003e-10
Apical cell membrane	0.45165413390253617	0.025212912365925086	0.034736373999553746	0.1496332286351789
Axon	1.089064615676045	0.7372948892456503	-0.006529175178961635	0.6629209924645487
GPI-anchor	0.0903956571726874	0.002102689134635008	0.01582939729013351	0.8501631150753652
Endosome membrane	1.3230318441865014	0.19593953494240499	-0.018329153127222803	0.22188121226183774
Mitochondrion outer membrane	0.4785860280608656	0.0021467285668819395	0.03811490225869547	0.01780119505094409
Lysosome	0.9690025227644539	1	0.10205861218868244	4.518724082396266e-7
Centromere	1.2290162774456626	0.25870274030735585	-0.05034306978735169	2.545163118662378e-4
Early endosome membrane	1.2114449814075494	0.3775247327203008	-0.0033742578348619767	0.8219638627470297
Cilium basal body	1.9127747266883572	0.0030855762699314626	-0.06854377866152193	1.2002492353871909e-5
Cytoplasmic vesicle membrane	1.2260666731418361	0.44268198341662396	0.0020286005448359457	0.9251078418030696
Postsynaptic cell membrane	0.7411789650036379	0.5735537336498612	0.017772003782738827	0.6368798379489862
Endosome	1.113833292388626	0.7090651049116968	-0.031277049507721075	0.10593060186336291
Early endosome	0.9060777193286115	0.8008642118040203	-0.015623436705852575	0.36742481531990645
Late endosome membrane	1.041499196084497	0.9094148380408451	0.03535919258957088	0.06664276257091235
Centriole	1.8742829618094579	0.009419394937015513	-0.08328277569465076	1.3696847969942947e-7
Microsome membrane	1.0670004517310259	0.8432705757229818	0.10874526046608826	0.05380283211214244
Spindle pole	2.060978909244278	0.0011585883562822215	-0.11419022343207627	3.4613236788590884e-9
Trans-Golgi network membrane	0.6242265747797858	0.08727984421662303	0.04955723790504335	0.003847801363173488
