gene	p_ebm	n_pep	abun	l2fc	color
0610009B22Rik	0.5864895781560162	1	207.2284490375	0.025146510969447675	#C9C9C9
0610012G03Rik	0.05515449436269714	2	82.5668783975	-0.20340247635965022	#C9C9C9
2210016F16Rik	0.1740003019764085	4	287.9036300734	0.22548592512106214	#C9C9C9
2310009B15Rik	0.0021259434655552458	3	313.1061573761	-0.29043740537211427	#FFCCCC
2310022A10Rik	0.0012429615261079154	8	1364.9394381792	-0.353065910452541	#FFCCCC
2410002F23Rik	0.8973715659040873	6	242.9646430408	0.056709635987109874	#C9C9C9
2410004B18Rik	0.6421154506381035	1	41.4379065246	0.08041016965273491	#C9C9C9
2700097O09Rik	0.08339042311730384	3	243.3768312045	0.026445194345294087	#C9C9C9
2900026A02Rik	0.7193807183268507	4	152.6571769819	-0.05381629279544877	#C9C9C9
4930522L14Rik	0.038148513061062934	2	137.1354151763	-0.18823424421471782	#FFCCCC
5031439G07Rik	0.7579703747006028	8	379.7958513141	0.0509661231221338	#C9C9C9
8030462N17Rik	0.1457494937051443	1	161.5902780143	0.125593721520198	#C9C9C9
8030474K03Rik	0.3831840807471096	6	303.5198480054	-0.07260435983470372	#C9C9C9
A2m	0.5050326772233756	1	62.3678737165	-0.1769129480177715	#C9C9C9
A430033K04Rik	0.04739034939126195	2	97.167861442	-0.27597611412292167	#FFCCCC
A4galt	0.6901293265289954	1	33.1002345105	-0.04555986629188197	#C9C9C9
Aaas	0.061370897154604996	3	210.8330478881	-0.18176388219835823	#C9C9C9
Aacs	1.0339646330348982e-4	6	755.8052977502999	0.33252869657274275	#CCCCFF
Aagab	0.20627068812061675	4	220.0443522357	0.07906084461511537	#C9C9C9
Aak1	0.5681524076737682	13	1103.4713974279	0.034388191619230644	#C9C9C9
Aamdc	0.03509391869427103	4	409.7254838004	0.22020432822594815	#CCCCFF
Aamp	0.9775594200066833	6	604.7578452837	0.03556528450910856	#C9C9C9
Aar2	0.369485776808558	5	256.7968387874	-0.09798410316679405	#C9C9C9
Aars1	0.01437608587788756	7	1017.5275354524	0.3090236799876424	#CCCCFF
Aars2	0.0038182905253354876	6	412.7056383139	-0.29505036479669855	#FFCCCC
Aarsd1	0.05871828012041428	4	677.8845925044	0.17339001414272773	#C9C9C9
Aasdhppt	0.007907213421382236	4	873.5634593351999	0.20932855359532426	#CCCCFF
Aatf	0.030190470401617583	6	665.7612963287	-0.2272400645996464	#FFCCCC
Aatk	0.29349641400217896	1	213.0759656518	-0.06626649922038917	#C9C9C9
Abat	0.20897163162987512	6	557.0320335029	-0.13355900550845212	#C9C9C9
Abca2	0.0010330255635667104	6	335.3531844676	-0.25944755968431554	#FFCCCC
Abca3	0.695317797441773	7	698.9027341765	0.02810935257897334	#C9C9C9
Abca5	0.0530439094307554	3	126.84537330469999	-0.22934897350533776	#C9C9C9
Abca7	0.09020092921326231	5	330.8867566538	-0.16791585534625514	#C9C9C9
Abcb10	0.07099430664742752	5	510.7375273908	-0.16847975613699273	#C9C9C9
Abcb1a	0.591173166994135	3	106.45750164500001	0.08562908459560595	#C9C9C9
Abcb1b	0.38024865942621694	7	791.4182579209	-0.043681952109479526	#C9C9C9
Abcb6	0.41695520437744554	7	523.7375557324	-0.06490137621970885	#C9C9C9
Abcb7	0.0015462107833024417	5	483.3977017669	-0.2782766728862992	#FFCCCC
Abcb8	0.44071315722218146	7	584.939606918	-0.09904717528706945	#C9C9C9
Abcc1	0.07316164293719422	3	181.0568751178	-0.12056124483472067	#C9C9C9
Abcc10	0.08829282383410503	3	123.8220396143	-0.18712284613579763	#C9C9C9
Abcc3	0.3340758570631618	6	892.9157104447	-0.10039565366482169	#C9C9C9
Abcc5	0.15355097203083193	1	50.4545620281	-0.15715868986538567	#C9C9C9
Abcd1	0.46233400416596276	6	358.43182573629997	-0.07188867307322408	#C9C9C9
Abcd3	0.03519738238453933	7	365.1597586643	-0.18179885864243103	#FFCCCC
Abcd4	0.5164332817695034	2	48.759697397699995	0.11973007003007753	#C9C9C9
Abce1	0.3704646154277968	4	262.8893759288	0.1486876780748932	#C9C9C9
Abcf1	0.19175063351794874	7	516.1195957198	-0.05295658323922902	#C9C9C9
Abcf2	0.7231739915609878	5	510.7474900754	-0.019000010179649286	#C9C9C9
Abcf3	0.9617580438677362	5	365.4780163986	-0.012427651927591786	#C9C9C9
Abcg2	0.303920843060379	5	346.3371187577	-0.06913678204844781	#C9C9C9
Abhd1	0.3046045448336362	6	432.2056103161	0.07029436006835951	#C9C9C9
Abhd10	0.09321152349657433	5	314.9665628162	-0.20348406873677877	#C9C9C9
Abhd11	0.5963271349982898	3	339.9704926489	-0.13967856743278384	#C9C9C9
Abhd12	0.018399292566086644	6	717.9334913807	-0.2650854592818834	#FFCCCC
Abhd13	0.3428967141798439	2	50.1957058292	-0.10606126160941043	#C9C9C9
Abhd14a	0.14972129808212697	4	206.0055187297	-0.12745616661581277	#C9C9C9
Abhd14b	8.484352960254339e-4	3	339.4250670732	0.3763854609668228	#CCCCFF
Abhd15	0.02091089337306049	3	268.3019578824	0.18931256459562104	#CCCCFF
Abhd16a	0.03433246729587772	5	264.2240546538	-0.16094140980572597	#FFCCCC
Abhd17a	0.09495340888978912	3	314.7554006068	-0.10764033825759337	#C9C9C9
Abhd17b	0.058814631618927284	3	158.0398215358	-0.16490871332604642	#C9C9C9
Abhd17c	0.0021108237100950695	1	78.755696642	-0.5559129963678557	#FFCCCC
Abhd5	0.9071294067354767	2	214.9576862687	7.648713576525815e-4	#C9C9C9
Abhd6	0.5078194360117229	3	258.7740146826	0.07837699884333547	#C9C9C9
Abhd8	0.28061257078548474	1	34.0723726725	-0.12028116200369333	#C9C9C9
Abi1	0.818915086456816	6	504.97279655479997	-0.051882350279228814	#C9C9C9
Abi2	0.8204152140145152	6	238.1378346555	-0.0032413433737334303	#C9C9C9
Abitram	0.019535684595484083	6	534.3523300444	0.17432656526506118	#CCCCFF
Abl1	0.6767169666285757	5	350.60725081609996	-0.060847193092767295	#C9C9C9
Abl2	0.5440594237305724	6	678.6848693364	0.03269156224793316	#C9C9C9
Ablim1	0.11631072727833901	6	335.4607059974	-0.19603979550094136	#C9C9C9
Abr	0.27539223153887454	7	1118.5147329539	0.07518744792048503	#C9C9C9
Abraxas1	0.04318733063595539	7	613.5386309931	-0.1670267028866795	#FFCCCC
Abraxas2	0.730172182754067	5	315.3387899526	0.025165089604602522	#C9C9C9
Abt1	0.048951650060633456	4	305.0504351216	-0.11177589621664445	#FFCCCC
Abtb1	0.4043950885275095	3	130.3522749789	0.004011811701169095	#C9C9C9
Acaa1a	0.004435955939557732	6	315.7520968319	-0.2732586988448266	#FFCCCC
Acaa2	0.038458826635431605	7	882.9911688989	-0.19505717825342253	#FFCCCC
Acaca	0.7657489803234254	4	397.0216321675	0.07796839878138184	#C9C9C9
Acacb	0.22810427411519218	6	820.0648149188	0.061352874584860904	#C9C9C9
Acad10	0.23895145587989475	7	339.77539132879997	-0.09825419462049098	#C9C9C9
Acad11	0.011364714637960183	5	338.9703943421	-0.21967635664004206	#FFCCCC
Acad12	0.005491824093008588	2	106.3933550038	-0.2864926693978186	#FFCCCC
Acad8	0.03976523722910621	3	167.4473609906	-0.22418584871269778	#FFCCCC
Acad9	0.005977534394594452	8	1146.2515785467	-0.2974801958448399	#FFCCCC
Acadl	0.00374391132865052	8	1142.0321120222	-0.20637933713688109	#FFCCCC
Acadm	0.05332063979767903	4	384.6339861658	-0.17458434502314712	#C9C9C9
Acads	0.016225895755915726	5	1094.6924383981	-0.25972377755979303	#FFCCCC
Acadsb	0.422694055903852	6	392.3862339231	-0.05013648957158502	#C9C9C9
Acadvl	0.05649396538515741	5	714.9802639185	-0.20912223857650086	#C9C9C9
Acan	0.02780773164544075	1	27.6041171843	0.35965594405498147	#CCCCFF
Acap2	0.039024628471852195	6	753.6707605611	0.18758621649536775	#CCCCFF
Acap3	0.35573826210721393	2	249.9493420572	0.08891640527132988	#C9C9C9
Acat1	0.036499512116322894	6	413.22358496879997	-0.18334485896244276	#FFCCCC
Acat2	0.1653838561935678	4	204.3750282116	0.11255362808853628	#C9C9C9
Acbd3	0.4491027973418721	7	905.7023883801	-0.09410988411231128	#C9C9C9
Acbd4	0.5803591566613253	5	382.4949736168	-0.09673250418276562	#C9C9C9
Acbd5	0.5865298384807718	8	729.8769649431999	-0.05252181173690608	#C9C9C9
Acbd6	0.026366879202848748	5	461.0090511243	0.20383329670316133	#CCCCFF
Accs	0.017400721493837368	2	104.59694476550001	0.2230053089542919	#CCCCFF
Accsl	0.1642674034310675	2	85.9173665166	-0.2304515976277285	#C9C9C9
Acd	0.7765969791754636	3	181.37056215389998	-0.02901608590979804	#C9C9C9
Ace	0.32108220516144087	5	181.523917305	-0.1125777032914741	#C9C9C9
Ache	0.5408740322076252	1	74.5673618981	0.06388801258062007	#C9C9C9
Acin1	0.0037816837222917708	8	382.9473776436	-0.3333773932698211	#FFCCCC
Acly	0.4138945930400273	7	659.3254185155	0.1368263351159808	#C9C9C9
Aco1	0.5802440088977976	6	606.662303662	0.08894696155068763	#C9C9C9
Aco2	0.029342127584526943	5	1074.0260637242	-0.1935440565811201	#FFCCCC
Acot11	0.005041181851368408	6	593.3060330259	0.33274388970867985	#CCCCFF
Acot13	0.006191561034630199	5	796.5807396881	-0.29109991892468956	#FFCCCC
Acot2	0.2698910745319088	6	583.8141452243	0.08502513311292827	#C9C9C9
Acot7	0.06224987508363499	9	971.0748570531999	0.161823437914376	#C9C9C9
Acot8	0.003657483619498011	5	335.7932442866	-0.2178349755143188	#FFCCCC
Acot9	0.048999910325739054	10	840.9304601881	-0.22822221750872532	#FFCCCC
Acox1	0.002274155404827189	4	213.0530052182	-0.3525159237594776	#FFCCCC
Acox3	0.19933018817105808	1	151.70078030690001	-0.119332598076162	#C9C9C9
Acp1	0.00863710529763598	8	1316.2377604143	0.17746829558600835	#CCCCFF
Acp2	6.387587402910607e-5	3	77.1357126085	-0.7798136830135286	#FFCCCC
Acp6	0.5204444514027662	3	475.4596034079	-0.10701954591043607	#C9C9C9
Acsf3	0.03910784873214304	5	370.9018578759	-0.1355907864286621	#FFCCCC
Acsl1	0.7540303197879062	5	514.1401272756	-0.034345234263009464	#C9C9C9
Acsl3	0.08230856553719793	6	554.9287162425	-0.1795664211871943	#C9C9C9
Acsl4	0.4046618667643884	5	827.5583975280999	-0.04734875266381793	#C9C9C9
Acsl5	0.024089576540028555	5	509.1303334472	-0.1952299883632309	#FFCCCC
Acsl6	0.7558828798388234	4	206.61208440960002	-0.01691888442210413	#C9C9C9
Acss2	0.004863376869108479	6	640.9654694837	0.2624812963714655	#CCCCFF
Acta2	0.3749596413467317	11	978.5707269221	0.030312675593770474	#C9C9C9
Actbl2	0.926148144102461	5	391.7814675748	-0.01703715786035779	#C9C9C9
Actg1	0.4871543512650798	9	759.5117779555	-0.025242409201507023	#C9C9C9
Actl6a	0.10100211520597316	6	783.5874535458	-0.17059608706328366	#C9C9C9
Actl6b	0.05409025957260529	5	334.3223003296	-0.16503671624286734	#C9C9C9
Actn1	0.1620913211007003	8	892.7994092538	-0.08299163336211905	#C9C9C9
Actn2	0.2458625735882649	5	925.8825518797	-0.039617473063777824	#C9C9C9
Actn3	0.3793307023477494	1	41.2155323863	-0.09619950827673668	#C9C9C9
Actn4	0.012187015390551578	12	1400.4057457238	-0.1982401383586842	#FFCCCC
Actr10	0.8088643586164501	7	874.2211842918	-0.01290554323934459	#C9C9C9
Actr1a	0.09790437152505806	5	799.1189609592	0.14290958107035323	#C9C9C9
Actr1b	0.25777165046291095	5	464.5542983427	0.17670098608844254	#C9C9C9
Actr2	0.22878662066725644	6	386.646055661	-0.08024296562517516	#C9C9C9
Actr3	0.7892518386917154	7	588.5924917785	0.02358695014923352	#C9C9C9
Actr3b	0.074786498181707	6	472.1842888105	-0.13920068540857455	#C9C9C9
Actr5	0.39308811016957856	4	246.1413581922	-0.10638082411510066	#C9C9C9
Actr6	0.03941735830071908	7	466.3647089182	-0.186587995481109	#FFCCCC
Actr8	0.31379734754647953	5	653.8162735539	-0.04033100210125573	#C9C9C9
Acvr1	0.01221323696244037	3	136.4107187249	-0.2931854441449985	#FFCCCC
Acvr1b	0.12742885154608033	4	316.1575266906	-0.16175225515629812	#C9C9C9
Acvr2a	0.9755160401486143	4	412.87519165369997	-0.015893333082678495	#C9C9C9
Acy1	0.1871653046874898	6	1132.6567862844	0.1608313350398884	#C9C9C9
Acyp1	0.07374411297510874	4	966.8378299671	0.14153139681049456	#C9C9C9
Acyp2	0.09744696705599258	5	290.66717459480003	0.19926837449183332	#C9C9C9
Ada	0.19750309513824268	5	405.2929887657	0.13660591119723153	#C9C9C9
Adam10	0.007946260883626901	5	267.6014450474	-0.1724094283274637	#FFCCCC
Adam12	3.13305176522494e-4	3	280.16413391410003	-0.3256554235675483	#FFCCCC
Adam15	0.07072014555220896	2	56.4580160253	-0.25482760881142674	#C9C9C9
Adam17	3.5534686379556896e-4	5	953.6364202286001	-0.3378259870414878	#FFCCCC
Adam19	0.05179899240607538	4	271.553593309	-0.23126214590730199	#C9C9C9
Adam22	0.038089738451907156	5	558.8535099389001	-0.20210907088258162	#FFCCCC
Adam23	3.4037993366295704e-9	4	158.6510218707	-2.106399117150205	#BB1111
Adam9	0.017835516668779788	5	387.5920057217	-0.2755032801710003	#FFCCCC
Adamts4	0.17846135835057741	6	475.2502956129	-0.09708919364072	#C9C9C9
Adap1	0.04857777082189518	4	323.4615338301	0.15156659676287548	#CCCCFF
Adar	0.8165939139609015	6	629.3095065578	0.049687631999839686	#C9C9C9
Adarb1	0.008320423982976067	5	529.2125433955	-0.21027625839670716	#FFCCCC
Adat1	0.27955336527252145	4	412.2626796572	0.09601452563427151	#C9C9C9
Adat2	0.0913965169853046	4	601.0339149060001	0.09312144769879589	#C9C9C9
Adat3	0.23750398958418797	6	327.1738686879	0.08826565897083312	#C9C9C9
Adck1	0.256804439639704	2	80.550359836	-0.14973586597308147	#C9C9C9
Adck2	0.8950777961778038	6	445.6044450697	-0.020150897141092045	#C9C9C9
Adck5	0.5601802248592054	3	173.7156901853	-0.08448427309691424	#C9C9C9
Adcy6	0.42223206016464804	8	551.1074635105999	-0.07586943709311286	#C9C9C9
Adcy9	0.6599759568355347	1	122.0765521724	-0.047353582909606715	#C9C9C9
Adcyap1r1	0.7690386373080588	4	428.1074549951	9.495183843817147e-4	#C9C9C9
Add1	0.06410968228840744	10	1290.4458376349	-0.15581430641670763	#C9C9C9
Add3	0.04728730736255832	7	856.2208615421	-0.14006346788263896	#FFCCCC
Adgra3	5.998262652128064e-5	2	73.6519078445	-0.4557809079963598	#FFCCCC
Adgrl1	0.002648299499858203	4	187.1175003859	-0.2615449102679922	#FFCCCC
Adgrl2	0.267834018853586	7	323.309689261	-0.13306486565342707	#C9C9C9
Adgrv1	0.6447383783182044	1	22.0655542587	0.24478592044299816	#C9C9C9
Adh5	0.006924553867433572	7	520.4387805097	0.20484846689521366	#CCCCFF
Adi1	0.029055460603289035	5	413.69225459259997	0.22874157574988843	#CCCCFF
Adipor1	0.45352123635410735	2	147.205329839	-0.09230716915076731	#C9C9C9
Adk	0.2867803518815339	5	280.5234620886	0.15633554593855747	#C9C9C9
Adnp	0.035714671657432806	4	386.2981391673	-0.20855249973571618	#FFCCCC
