loc	fisher_es	fisher_p	direction_effect	direction_t_p
Cytoplasm	0.5590618348766832	6.09571134024803e-34	0.10808612555046122	9.947556242662777e-155
Nucleus	1.2163962846828862	3.161530077843732e-5	-0.016088035936279034	8.90006120682498e-5
Cell membrane	0.7810911105045546	0.0013972367903084596	-0.02508757599539952	0.0030983293642057896
Multi-pass membrane protein	1.2087195001073487	0.014816914575549721	-0.08791308181742241	1.1974246824003678e-35
None annotated	0.6475932549045805	7.324851429435449e-9	0.0946743510990487	3.7184117153324883e-53
Membrane	0.8993234530223582	0.2482734098033798	-0.029216572122576757	5.765547596727384e-4
Secreted	1.4423642275606763	0.006348644774429694	-0.07453308719271776	3.649877108873314e-4
Cytoskeleton	0.6363761000522397	2.9740300626575024e-8	0.03949918903998464	1.3632863525708314e-10
Peripheral membrane protein	0.6124173401676983	6.42149742636541e-8	0.05332672171215526	5.6112069688591654e-14
Single-pass type I membrane protein	1.2683835205949126	0.07722734134307593	-0.1321163580969775	5.691159256113673e-12
Cell projection	0.5651052507467048	1.0700286225698851e-7	0.03128988026273464	7.84802120552461e-4
Endoplasmic reticulum membrane	1.1520833849614474	0.14404205995569747	-0.06283459631807592	8.787778424181411e-13
Cell junction	0.6211304782734985	1.3990226611112276e-4	0.013622200251313075	0.19758913215145155
Mitochondrion	1.6691927716419308	2.323592892559546e-7	-0.06863735654428345	9.640776801789555e-17
Cytoplasmic vesicle	0.6145914177055846	1.7749121886780642e-4	0.03520840484481612	0.0026550884938727234
Single-pass membrane protein	1.4531529006032395	0.005080508802687068	-0.08272030527727546	3.6495623205986554e-10
Cytosol	0.6123078909506943	4.782864207727105e-5	0.1137142714488455	4.719306357884745e-34
Chromosome	1.9902835920008253	1.0447333072893835e-10	-0.08352675001905616	3.5967086833070063e-19
Golgi apparatus	0.6745699421026753	0.0021368075951065358	0.004509601396304588	0.7237011989406986
Lipid-anchor	0.8712166976448662	0.35791933654751446	-0.02255776714756564	0.16068112201733314
Microtubule organizing center	0.5934257232029619	5.602113890032938e-5	0.03232676396781623	3.3743721629664233e-4
Synapse	0.5999370642975613	0.0028191665177659583	0.009825909061124523	0.5192818164705189
Single-pass type II membrane protein	2.518594063459173	3.836074804567731e-8	-0.16429035788321739	5.1986642617725875e-14
Centrosome	0.5747304524152441	2.5705567976994005e-5	0.03440047805298316	1.5998711515048105e-4
Golgi apparatus membrane	0.9938114899124095	0.9999999999999999	-0.04878970004664376	4.820356392319398e-4
Nucleolus	2.005184781343935	8.191457111771084e-10	-0.08833062208510954	4.882457803506044e-25
Extracellular space	1.477010975004171	0.1888764903409388	-0.09295862088244614	0.026238265775916234
Mitochondrion inner membrane	1.733891054677502	4.0648870407320954e-5	-0.09985927878019973	6.282930780804751e-37
Perinuclear region	0.5764999386175531	0.0017643060015621115	0.05183441977305879	9.66528720111262e-6
Endoplasmic reticulum	0.8076400059444416	0.23901727223289068	-0.008533823696210849	0.6534258372697583
Cilium	0.48033684122209985	0.004001335430369218	0.06202281716890139	6.248335331036343e-5
Extracellular matrix	1.4887890102919512	0.29288524837012225	-0.06675565063685307	0.20848369464206176
Secretory vesicle	0.943556103692436	0.82698781060134	-0.018342853273927866	0.38810815107093266
Lysosome membrane	0.6665442666248222	0.04284554149777181	-0.01875754141010441	0.31537347462503984
Nucleoplasm	1.5727658096524144	0.004449665791063892	-0.07191566159030174	1.545803646493365e-9
Dendrite	0.8207607810450721	0.4329286049806667	-0.014610692683887108	0.5400457166460526
Spindle	1.0543635537735287	0.796975587906474	-0.01174566861052894	0.447412322675133
Nucleus speckle	1.7637475342515585	5.370099879438991e-4	-0.08154921675423327	2.9687817840759158e-12
Mitochondrion matrix	2.2811609267061126	3.3757322837950367e-7	-0.11326392206407782	4.600840340370478e-21
Apical cell membrane	0.9568095486090066	1	0.005461148232059433	0.8206301668173545
Axon	0.8207607810450721	0.4329286049806667	-9.92755332257629e-4	0.9682686840382844
GPI-anchor	2.4826325883827542	0.03969662501474284	-0.2857096170268945	0.009811150617392676
Endosome membrane	0.7743291799359562	0.28058770120902665	0.008704947771041104	0.6047045950857188
Mitochondrion outer membrane	1.0003569143786268	1	-0.06253186857776717	1.1260961013626845e-4
Lysosome	0.896957021773811	0.6571125158545955	-0.005552277539644483	0.8180600032088785
Centromere	2.0693658171556706	8.517824524743526e-5	-0.09178292077349443	2.77020485692879e-8
Early endosome membrane	0.5277392871268061	0.010379649742830229	0.014532978376559098	0.35338958326914194
Cilium basal body	0.560120209477825	0.022749523913732538	0.045467467619588545	0.0025518073291883967
Cytoplasmic vesicle membrane	0.7337455242535419	0.3037608261148876	-0.043829930964674926	0.21067697840754684
Postsynaptic cell membrane	0.5408389380829829	0.186755546230164	0.01348693257441766	0.6707369672504859
Endosome	0.5825701021366401	0.06013821880125238	0.04201125767723819	0.06404348559487855
Early endosome	0.3887481543924455	0.0014635667933637797	0.050679489990765145	0.004210725022643775
Late endosome membrane	0.6069171585954175	0.051586932642609225	0.015103580471962696	0.5616437865909842
Centriole	0.5615659125066748	0.036192622208261575	0.013852239351609251	0.35123231066035365
Microsome membrane	0.7816582655481474	0.6874866616805678	0.05186856917409999	0.08090962130886742
Spindle pole	0.8947936300365166	0.7288900637068264	-0.03168097979684065	0.11221737560820984
Trans-Golgi network membrane	0.5099620183860808	0.014354100354143003	-0.01251850935147536	0.4636839983359635
