gene	p_ebm	n_pep	abun	l2fc	color
0610009B22Rik	1.4955823854000037e-5	1	171.0931629677	-0.7894076295631205	#FFCCCC
0610012G03Rik	0.03277561463981175	2	96.717072127	0.34291775366195987	#CCCCFF
2210016F16Rik	9.525247495395015e-8	4	221.7179096468	-0.7936926868510087	#BB1111
2310009B15Rik	0.010399944064276766	3	366.6304948493	0.23802872458043411	#CCCCFF
2310022A10Rik	0.012879237296839246	8	1599.5068859196	0.23892032444230332	#CCCCFF
2410002F23Rik	0.0015255986749305908	6	218.2249024322	-0.35886597928359265	#FFCCCC
2410004B18Rik	4.0910518640345305e-4	1	34.6263646297	-0.6507527763513525	#FFCCCC
2700097O09Rik	3.9900961286980076e-7	3	218.8522053615	-0.44739379154710707	#BB1111
2900026A02Rik	0.017207284920502247	4	170.8523542016	0.35325847171594005	#CCCCFF
4930522L14Rik	0.19348363486415304	2	146.69600169839998	0.001833369775436626	#C9C9C9
5031439G07Rik	5.868157773047083e-6	8	318.5618596348	-0.6728829113596725	#FFCCCC
8030462N17Rik	0.019608106515860868	1	135.1711821286	-0.58348478221242694	#FFCCCC
8030474K03Rik	0.052209649058242186	6	292.977076938	-0.2139093483450531	#C9C9C9
A2m	0.029157265577372745	1	94.9008598882	1.08981723751965	#CCCCFF
A430033K04Rik	0.12634401698825667	2	110.1614128692	0.19386799365352597	#C9C9C9
A4galt	8.455706737765675e-4	1	30.0657168871	-0.42939703985164424	#FFCCCC
Aaas	7.295213454818455e-5	3	242.8121438713	0.31872520432059337	#CCCCFF
Aacs	3.2155929008839167e-9	6	522.2354728743	-1.3624761302234845	#BB1111
Aagab	5.974400736603585e-6	4	165.6599784597	-1.1854192144578906	#FFCCCC
Aak1	0.31245593273164773	13	1067.4652671093002	-0.08710039215984107	#C9C9C9
Aamdc	2.255459978303944e-6	4	294.86836368580003	-1.044591444603925	#BB1111
Aamp	2.4240890399585166e-7	6	467.9405935471	-1.1172621818082349	#BB1111
Aar2	0.019916302241449104	5	245.63206141999999	-0.21917625603243757	#FFCCCC
Aars1	1.4394473487673823e-7	7	710.824486262	-1.2513935523419502	#BB1111
Aars2	0.0017271192426786654	6	491.2261125998	0.3205636190208792	#CCCCFF
Aarsd1	1.2707900174286041e-7	4	474.72766512630005	-1.6022558044838597	#BB1111
Aasdhppt	5.364265972226482e-7	4	680.6076264607001	-0.7096226185841887	#BB1111
Aatf	0.01592901739501623	6	753.8329122215	0.20171210912926157	#CCCCFF
Aatk	0.37847294757484257	1	213.5139472648	-0.05866376754861205	#C9C9C9
Abat	1.9081223499815424e-4	6	665.4340253285	0.45048043685754674	#CCCCFF
Abca2	5.022079878243359e-5	6	401.5969050051	0.35999210152971617	#CCCCFF
Abca3	0.001638221403739878	7	745.2062202161	0.21963140102043682	#CCCCFF
Abca5	0.05322215052417833	3	133.3292008553	-0.06352359119191178	#C9C9C9
Abca7	2.4955004411812618e-5	5	402.3221786593	0.5149506690543936	#CCCCFF
Abcb10	0.006410966327585549	5	582.685401788	0.32154565960326303	#CCCCFF
Abcb1a	0.001971641436898467	3	115.6442117922	0.35451983586912483	#CCCCFF
Abcb1b	3.1802374036065365e-6	7	857.0271479136	0.16301831556395247	#1111BB
Abcb6	3.063836937368528e-5	7	612.0441779948	0.4413317721945708	#CCCCFF
Abcb7	0.005607826263571858	5	559.1391194883	0.2667023020976518	#CCCCFF
Abcb8	0.0011523744871102788	7	665.9540711878	0.3291944603812429	#CCCCFF
Abcc1	0.582428916298995	3	185.2030853835	-0.07416359582842691	#C9C9C9
Abcc10	0.006234222890932496	3	148.4807628611	0.36359311452313325	#CCCCFF
Abcc3	0.0010189314232026494	6	1006.3192570678999	0.2812125573850978	#CCCCFF
Abcc5	7.217007587881784e-4	1	63.4996394662	0.6007282170082727	#CCCCFF
Abcd1	8.466935323172021e-4	6	401.8602297418	0.32347379661641107	#CCCCFF
Abcd3	0.002387124990863834	7	426.2839391689	0.29335804197024906	#CCCCFF
Abcd4	0.051600659958901396	2	49.5051317716	0.16648358248871598	#C9C9C9
Abce1	3.2761512109653667e-6	4	203.7137007786	-0.92610672693947	#BB1111
Abcf1	2.897728765667407e-4	7	477.0427841548	-0.3830824135501751	#FFCCCC
Abcf2	1.0363788572822915e-4	5	457.8513181204	-0.48674700563639506	#FFCCCC
Abcf3	1.1380533388471859e-7	5	285.6983663539	-1.074084206385226	#BB1111
Abcg2	0.0011247320876735317	5	408.3861546901	0.4500739689111705	#CCCCFF
Abhd1	2.8919684497265985e-4	6	496.8283238175	0.49417188681708735	#CCCCFF
Abhd10	0.002883862905670521	5	379.0106607349	0.44285798908083823	#CCCCFF
Abhd11	0.14924149388618102	3	374.298692932	0.20673640313161123	#C9C9C9
Abhd12	0.00909481710179218	6	839.9073661911	0.24440089595496697	#CCCCFF
Abhd13	8.172792022016147e-6	2	43.216097205400004	-0.7579674914908183	#FFCCCC
Abhd14a	3.75044240009497e-7	4	173.4907769159	-0.9172733702207381	#BB1111
Abhd14b	2.1246508240509457e-6	3	235.4101813866	-1.1555031446068398	#BB1111
Abhd15	5.426459409470673e-6	3	294.9572665083	0.43274059067962484	#1111BB
Abhd16a	2.3317834517579933e-4	5	304.1688922538	0.3246577812608317	#CCCCFF
Abhd17a	0.0016540725142408833	3	331.3854006802	0.03637270060852534	#CCCCFF
Abhd17b	9.674155547124711e-6	3	196.2132866417	0.5499578493127014	#CCCCFF
Abhd17c	7.301406984179987e-5	1	67.8538623153	-1.4019150940726255	#FFCCCC
Abhd5	0.4448446792595655	2	211.2910026431	-0.0619206469311767	#C9C9C9
Abhd6	3.846770832165579e-5	3	300.4488787395	0.5911676148455844	#CCCCFF
Abhd8	9.200961053193471e-5	1	27.9247366018	-1.0488024745181057	#FFCCCC
Abi1	6.895646375435504e-6	6	439.7911457293	-0.5868257486571975	#FFCCCC
Abi2	2.1055000204111014e-5	6	204.0922757825	-0.7014165522522032	#FFCCCC
Abitram	1.6063960171641017e-6	6	411.01149523099997	-0.9767243374741142	#BB1111
Abl1	0.03487481610641889	5	336.556709426	-0.20941263556018233	#FFCCCC
Abl2	9.536721603395842e-8	6	567.3427221274	-0.7138086709897193	#BB1111
Ablim1	0.031333034290682106	6	332.7804117768	-0.10208699057753738	#FFCCCC
Abr	1.5352867818672221e-7	7	865.8836789323	-0.883865971034138	#BB1111
Abraxas1	0.008118507780816877	7	698.4401107065	0.2919337022831784	#CCCCFF
Abraxas2	1.3166734928533895e-6	5	263.8755184857	-0.7710829276100261	#BB1111
Abt1	3.3458036565282276e-4	4	342.2070710368	0.2849681480068769	#CCCCFF
Abtb1	0.24683769211653359	3	125.7765899309	-0.14751142839820572	#C9C9C9
Acaa1a	0.0010063793100416666	6	368.754842718	0.27463763928736395	#CCCCFF
Acaa2	0.00021491179633495891	7	1049.6535062231	0.42880681195204573	#CCCCFF
Acaca	1.8951263573056863e-7	4	309.14542143	-1.0353605844260543	#BB1111
Acacb	4.259768711697419e-7	6	657.338853581	-0.8206871736600203	#BB1111
Acad10	7.011606795349468e-4	7	390.6500029689	0.36835776113858654	#CCCCFF
Acad11	0.02293720348391539	5	380.4796293496	0.21633274082971185	#CCCCFF
Acad12	0.1729278921166288	2	121.6097846957	0.19704721448418175	#C9C9C9
Acad8	3.56162668817391e-4	3	200.63742588579998	0.40443038979349927	#CCCCFF
Acad9	0.007111921796764848	8	1349.660341105	0.31817320455342996	#CCCCFF
Acadl	0.0017440110038810421	8	1340.8909182585	0.3244272148376887	#CCCCFF
Acadm	0.003656012334377155	4	469.1117607369	0.4669364718221322	#CCCCFF
Acads	5.192942571818229e-5	5	1349.5164882812	0.4468412830234062	#CCCCFF
Acadsb	5.46183363892888e-6	6	474.092238952	0.5763385366230346	#1111BB
Acadvl	0.003791915409157971	5	838.0535699529	0.3453765182421923	#CCCCFF
Acan	0.0014306241438401264	1	18.8166315422	-1.3322717215694655	#FFCCCC
Acap2	2.3815466578222998e-7	6	560.7864985298	-1.1462151065432542	#BB1111
Acap3	1.2475793126013147e-6	2	197.0816772387	-0.9724972195963922	#BB1111
Acat1	6.0174221705701856e-5	6	490.3203589302	0.4033748092183427	#CCCCFF
Acat2	5.719741636930454e-7	4	145.7986830268	-1.5625377290380573	#BB1111
Acbd3	0.014866483310148974	7	867.0719992206	-0.23245259716500885	#FFCCCC
Acbd4	5.0580659945038166e-5	5	486.7106371076	0.6132095591031872	#CCCCFF
Acbd5	0.0014182471124946367	8	834.6839470925	0.4053247190478542	#CCCCFF
Acbd6	6.512014822196472e-7	5	327.296255092	-1.2979261862451472	#BB1111
Accs	2.900657452679284e-7	2	77.7703253271	-1.0339323861936973	#BB1111
Accsl	0.005007718751924951	2	102.5917089708	0.39070105692419654	#CCCCFF
Acd	0.6142820840769316	3	179.2541563542	-0.08440696264844412	#C9C9C9
Ace	5.803695445087759e-5	5	225.5371614745	0.5981928922495802	#CCCCFF
Ache	0.0015075751416191892	1	84.5271204111	0.4701410609562394	#CCCCFF
Acin1	0.004084483891336256	8	462.3958889703	0.31989746636509714	#CCCCFF
Acly	5.19078478419465e-8	7	475.1233313808	-1.2917136129717801	#BB1111
Aco1	8.78165356693777e-9	6	455.7914445229	-1.2829819898215373	#BB1111
Aco2	0.0062288072846345775	5	1245.286942809	0.35091471045224515	#CCCCFF
Acot11	7.89145319909583e-6	6	425.49200818189996	-1.0810158385379705	#FFCCCC
Acot13	8.071212805186113e-4	5	956.7713950872	0.3618526670652182	#CCCCFF
Acot2	0.001821585694523235	6	639.3473925167	0.34744818268577066	#CCCCFF
Acot7	1.1840614212838398e-8	9	741.7843657587	-1.0444608603775736	#BB1111
Acot8	5.500112014324382e-4	5	391.5013125749	0.31487519515039974	#CCCCFF
Acot9	5.271688156736752e-5	10	1051.7535338034	0.5364789600627538	#CCCCFF
Acox1	0.06830369209627257	4	246.003449059	0.1968035118587276	#C9C9C9
Acox3	0.010415788532566602	1	174.5859802231	0.36264506920492406	#CCCCFF
Acp1	8.26230730631437e-9	8	950.2486418131	-1.241867634125454	#BB1111
Acp2	1.3840392052883322e-4	3	111.52563181800001	0.6033639320863636	#CCCCFF
Acp6	0.1464446676389273	3	517.2036854369	0.19141836037430096	#C9C9C9
Acsf3	0.0024899192797191157	5	438.78687710779997	0.39615834435177144	#CCCCFF
Acsl1	0.08215685535861163	5	549.5131721608	0.18299744817846383	#C9C9C9
Acsl3	5.466936172299794e-4	6	687.3001744544	0.6030688498994811	#CCCCFF
Acsl4	0.0012854788958344043	5	943.4480264398001	0.37620830362118546	#CCCCFF
Acsl5	3.9445412614926256e-4	5	633.3788280166	0.5306311169134003	#CCCCFF
Acsl6	1.504401509043948e-4	4	237.2618749102	0.44364530697516624	#CCCCFF
Acss2	2.6904180580687015e-7	6	461.61938646960004	-1.2474935107200145	#BB1111
Acta2	0.31498236666380114	11	963.1380755076	-0.020291366574533943	#C9C9C9
Actbl2	0.6355794845734445	5	401.5836490293	0.10897186947618379	#C9C9C9
Actg1	0.22228732848778004	9	772.4574921084	0.030105933777476418	#C9C9C9
Actl6a	0.032726839892943484	6	894.9471000699	0.19886069106149346	#CCCCFF
Actl6b	0.1494186196394034	5	356.7143963544	0.05461566359938829	#C9C9C9
Actn1	0.005416043969315222	8	957.8887477456	0.16860023078272612	#CCCCFF
Actn2	1.5141773192226859e-5	5	877.7792042257	-0.05809087736800363	#FFCCCC
Actn3	0.053566760886833584	1	44.143185851	0.14860098253902662	#C9C9C9
Actn4	0.026685027317868718	12	1545.0019724731	0.16098398435390585	#CCCCFF
Actr10	4.799879829448417e-9	7	730.2430929189	-0.5741860695042317	#BB1111
Actr1a	1.5148150857603677e-7	5	651.5116331134	-0.7024720751197111	#BB1111
Actr1b	8.68216070026374e-6	5	364.1307403206	-0.8970213906218779	#FFCCCC
Actr2	6.029462630720089e-4	6	354.7845499442	-0.40417777045518904	#FFCCCC
Actr3	0.025626822483760255	7	549.3946338354	-0.210855924552499	#FFCCCC
Actr3b	0.12134897836274937	6	476.517057457	-0.12350751486059378	#C9C9C9
Actr5	0.8455425669641439	4	248.983413533	-0.04547286601378159	#C9C9C9
Actr6	0.7094235645583085	7	485.7174479097	-0.03682629617685808	#C9C9C9
Actr8	0.622692077914239	5	666.4496471381	0.03584715576935111	#C9C9C9
Acvr1	9.229749901019901e-7	3	181.6164933035	0.6657698997278808	#1111BB
Acvr1b	2.7148662780605646e-7	4	408.5196862304	0.6220706456882685	#1111BB
Acvr2a	7.902423772302882e-7	4	514.7478381613	0.6708676532280031	#1111BB
Acy1	3.844134104304187e-8	6	823.2457637289999	-1.3365039685381885	#BB1111
Acyp1	2.0857076118730356e-8	4	701.8706661566999	-1.3150137244622078	#BB1111
