acc	gene	location	topology	both
P68510	Ywhah	Cytoplasm		Cytoplasm
P62259	Ywhae	Melanosome,Nucleus,Cytoplasm		Melanosome,Nucleus,Cytoplasm
P63101	Ywhaz	Melanosome,Cytoplasm		Melanosome,Cytoplasm
Q9CQV8	Ywhab	Melanosome,Cytoplasm		Melanosome,Cytoplasm
P61982	Ywhag	Cytoplasm		Cytoplasm
A2AIG8	Accs			
Q3UX83	Accsl			
Q61151	Ppp2r5e	Cytoplasm		Cytoplasm
Q6P1F6	Ppp2r2a			
Q6PD03	Ppp2r5a	Centromere,Nucleus,Cytoplasm,Chromosome		Centromere,Nucleus,Cytoplasm,Chromosome
Q6PD28	Ppp2r5b	Cytoplasm		Cytoplasm
O70456	Sfn	Secreted,Nucleus,Cytoplasm		Secreted,Nucleus,Cytoplasm
Q925E7	Ppp2r2d	Cytoplasm		Cytoplasm
Q60996	Ppp2r5c	Centromere,Nucleus,Chromosome		Centromere,Nucleus,Chromosome
Q7TNP2	Ppp2r1b			
Q8BG02	Ppp2r2c			
P68254	Ywhaq	Cytoplasm		Cytoplasm
Q6ZWR4	Ppp2r2b	Mitochondrion,Cytoplasm,Cytoskeleton,Mitochondrion outer membrane,Membrane		Mitochondrion,Cytoplasm,Cytoskeleton,Mitochondrion outer membrane,Membrane
O35469	Hsd3b6	Mitochondrion membrane,Endoplasmic reticulum membrane	Single-pass membrane protein	Mitochondrion membrane,Single-pass membrane protein,Endoplasmic reticulum membrane
Q06649	Sh3bp2			
Q99LH9	Sh3bp5l			
Q9EQC1	Hsd3b7	Endoplasmic reticulum membrane	Multi-pass membrane protein	Multi-pass membrane protein,Endoplasmic reticulum membrane
P24815	Hsd3b1	Mitochondrion membrane,Endoplasmic reticulum membrane	Single-pass membrane protein	Mitochondrion membrane,Single-pass membrane protein,Endoplasmic reticulum membrane
Q9Z131	Sh3bp5	Mitochondrion,Cytoplasmic vesicle membrane	Peripheral membrane protein	Mitochondrion,Cytoplasmic vesicle membrane,Peripheral membrane protein
Q76MZ3	Ppp2r1a	Cell projection,Cytoplasm,Lateral cell membrane,Centromere,Nucleus,Chromosome,Dendrite		Cell projection,Cytoplasm,Lateral cell membrane,Centromere,Nucleus,Chromosome,Dendrite
Q78JT3	Haao	Cytosol,Cytoplasm		Cytosol,Cytoplasm
P26149	Hsd3b2	Mitochondrion membrane,Endoplasmic reticulum membrane	Single-pass membrane protein	Mitochondrion membrane,Single-pass membrane protein,Endoplasmic reticulum membrane
P26150	Hsd3b3	Mitochondrion membrane,Endoplasmic reticulum membrane	Single-pass membrane protein	Mitochondrion membrane,Single-pass membrane protein,Endoplasmic reticulum membrane
Q61767	Hsd3b4	Mitochondrion membrane,Endoplasmic reticulum membrane	Single-pass membrane protein	Mitochondrion membrane,Single-pass membrane protein,Endoplasmic reticulum membrane
P55194	Sh3bp1	Tight junction,Cell projection,Cytoplasm,Adherens junction,Cytosol,Nucleus,Cell junction,Phagocytic cup		Tight junction,Cell projection,Cytoplasm,Adherens junction,Cytosol,Nucleus,Cell junction,Phagocytic cup
Q61694	Hsd3b5	Mitochondrion membrane,Endoplasmic reticulum membrane	Single-pass membrane protein	Mitochondrion membrane,Single-pass membrane protein,Endoplasmic reticulum membrane
Q99L13	Hibadh	Mitochondrion		Mitochondrion
Q04841	Mpg	Mitochondrion matrix,Mitochondrion nucleoid,Nucleus,Cytoplasm		Mitochondrion matrix,Mitochondrion nucleoid,Nucleus,Cytoplasm
Q80VV3	Eif4ebp3			
Q9EST3	Eif4enif1	Nucleus,Cytoplasm,PML body,Nucleus speckle		Nucleus,Cytoplasm,PML body,Nucleus speckle
Q60876	Eif4ebp1			
P35363	Htr2a	Cell projection,Presynapse,Axon,Synapse,Cytoplasmic vesicle,Cell membrane,Caveola,Cell junction,Dendrite,Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell projection,Presynapse,Axon,Synapse,Cytoplasmic vesicle,Cell membrane,Caveola,Cell junction,Dendrite,Membrane
P10852	Slc3a2	Melanosome,Apical cell membrane,Cell junction,Cell membrane,Lysosome membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Melanosome,Apical cell membrane,Cell junction,Cell membrane,Lysosome membrane
Q9JHJ5	Htr3b	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
P70445	Eif4ebp2			
Q02284	Htr1f	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q91VK1	Bzw2	Cytoplasm		Cytoplasm
P32304	Htr7	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
P28334	Htr1b	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9D020	Nt5c3a	Cytoplasm		Cytoplasm
Q64264	Htr1a	Dendrite,Cell projection,Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Dendrite,Cell projection,Cell membrane
Q9CQC6	Bzw1			
P97288	Htr4	Endosome,Cell membrane	Multi-pass membrane protein	Endosome,Multi-pass membrane protein,Cell membrane
Q61503	Nt5e	Cell membrane	Lipid-anchor,GPI-anchor	GPI-anchor,Lipid-anchor,Cell membrane
Q02152	Htr2b	Synapse,Cell junction,Cell membrane,Synaptosome	Multi-pass membrane protein	Multi-pass membrane protein,Synapse,Cell junction,Cell membrane,Synaptosome
Q3UFY7	Nt5c3b	Cytoplasm		Cytoplasm
A3KFX0	Nt5c1a	Cytoplasm		Cytoplasm
Q61224	Htr1d	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
P30966	Htr5a	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q91YE9	Nt5c1b	Cytoplasm		Cytoplasm
P31387	Htr5b	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9R1C8	Htr6	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
P34968	Htr2c	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q3V1L4	Nt5c2	Cytosol,Cytoplasm		Cytosol,Cytoplasm
Q9CQ60	Pgls	Cytoplasm		Cytoplasm
Q9DCD0	Pgd	Cytoplasm		Cytoplasm
P23979	Htr3a	Postsynaptic cell membrane,Synapse,Cell membrane,Cell junction	Multi-pass membrane protein	Postsynaptic cell membrane,Multi-pass membrane protein,Synapse,Cell membrane,Cell junction
Q3UKZ7	Arl14epl			
P07758	Serpina1a	Secreted		Secreted
P12961	Scg5	Secreted		Secreted
P22599	Serpina1b	Secreted		Secreted
Q00896	Serpina1c	Secreted		Secreted
Q00897	Serpina1d	Secreted		Secreted
Q00898	Serpina1e	Secreted		Secreted
Q571I9	Aldh16a1			
P53368	Nudt1	Cytoplasm,Secretory vesicle,Nucleus,Cytoplasmic vesicle,Acrosome,Nucleus membrane		Cytoplasm,Secretory vesicle,Nucleus,Cytoplasmic vesicle,Acrosome,Nucleus membrane
Q9DCQ7	Serpina1f	Secreted		Secreted
Q60590	Orm1	Secreted		Secreted
Q8C0J2	Atg16l1	Endosome membrane,Lysosome membrane,Cytoplasm,Preautophagosomal structure membrane	Peripheral membrane protein	Endosome membrane,Cytoplasm,Preautophagosomal structure membrane,Peripheral membrane protein,Lysosome membrane
P07361	Orm2	Secreted		Secreted
Q19LI2	A1bg	Secreted		Secreted
Q63805	Orm3	Secreted		Secreted
Q6KAU8	Atg16l2	Cytosol,Cytoplasm		Cytosol,Cytoplasm
Q5YD48	A1cf	Nucleus,Cytoplasm,Endoplasmic reticulum		Nucleus,Cytoplasm,Endoplasmic reticulum
Q61247	Serpinf2	Secreted		Secreted
Q6GQT1	A2m	Secreted		Secreted
Q14BT6	A4gnt	Golgi apparatus membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus membrane
Q3V1N9	A3galt2	Golgi apparatus,Golgi stack membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus,Golgi stack membrane
Q61618	Adora3	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q67BJ4	A4galt	Golgi apparatus membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus membrane
Q60613	Adora2a	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q3UD01	Atxn7l3b	Cytoplasm		Cytoplasm
P63115	Slc7a10	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
P58742	Aaas	Cytoplasm,Nucleus envelope,Cytoskeleton,Nucleus,Spindle pole,Nuclear pore complex		Cytoplasm,Nucleus envelope,Cytoskeleton,Nucleus,Spindle pole,Nuclear pore complex
Q60614	Adora2b	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9D2R0	Aacs	Cytosol,Cytoplasm		Cytosol,Cytoplasm
Q60612	Adora1	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q99PG0	Aadac	Microsome membrane,Endoplasmic reticulum membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Microsome membrane,Endoplasmic reticulum membrane
P51912	Slc1a5	Melanosome,Cell membrane	Multi-pass membrane protein	Melanosome,Multi-pass membrane protein,Cell membrane
Q6PAM0	Prkab2			
Q9WVM8	Aadat	Mitochondrion		Mitochondrion
Q9D2V5	Aar2			
Q8R2R3	Aagab	Cytosol,Cytoplasm		Cytosol,Cytoplasm
Q3THG9	Aarsd1	Cytoplasm		Cytoplasm
O54950	Prkag1			
P12023	App	Clathrin-coated pit,Growth cone,Cell projection,Golgi apparatus,Cytoplasm,Cell surface,Perikaryon,Secreted,Nucleus,Cytoplasmic vesicle,Trans-Golgi network,Cell membrane,Early endosome,Endoplasmic reticulum,Membrane	Single-pass type I membrane protein	Clathrin-coated pit,Single-pass type I membrane protein,Growth cone,Cell projection,Golgi apparatus,Cytoplasm,Cell surface,Perikaryon,Secreted,Nucleus,Cytoplasmic vesicle,Trans-Golgi network,Cell membrane,Early endosome,Endoplasmic reticulum,Membrane
Q8R0P4	Aamdc	Cytoplasm		Cytoplasm
Q811W1	Aard			
